Symbol,Date,Open,High,Low,Close,Volume
AAL,08 Aug 2018,38.41,38.86,38.22,38.38,3895400
AAME,08 Aug 2018,2.5,2.5,2.5,2.5,500
AAOI,08 Aug 2018,46,46,40.28,40.92,5951300
AAON,08 Aug 2018,38.8,39.2,38.45,38.85,148400
AAPL,08 Aug 2018,206.05,207.81,204.52,207.25,22525400
AAWW,08 Aug 2018,62.5,63.1,61.45,61.8,255200
AAXJ,08 Aug 2018,72.18,72.28,71.83,72.22,393600
AAXN,08 Aug 2018,63.19,63.19,56.09,59.78,4298800
ABCB,08 Aug 2018,48.7,49.65,48.55,49.4,449800
ABDC,08 Aug 2018,6.24,6.24,6.06,6.2,21900
ABEO,08 Aug 2018,14.7,14.95,14.5,14.7,238600
ABEOW,08 Aug 2018,9.5,9.5,9.5,9.5,0
ABIL,08 Aug 2018,4.8,8.57,4.73,6.6,22541400
ABIO,08 Aug 2018,12.42,12.96,11.7,12.06,686800
ABMD,08 Aug 2018,376.42,380.31,371.21,376.01,440200
ABTX,08 Aug 2018,44.25,45.05,44.25,44.75,6600
ABUS,08 Aug 2018,9.6,9.7,9.4,9.55,196600
ACAD,08 Aug 2018,14.19,14.38,14.01,14.02,2509800
ACBI,08 Aug 2018,18.15,18.25,17.9,18.05,104500
ACER,08 Aug 2018,25.83,26,23.59,25.68,73100
ACGL,08 Aug 2018,30.27,30.41,29.96,30.3,676900
ACGLO,08 Aug 2018,24.66,24.67,24.57,24.6,15000
ACGLP,08 Aug 2018,23.9,23.92,23.88,23.9,23200
ACHC,08 Aug 2018,40.23,40.51,39.35,39.51,725500
ACHN,08 Aug 2018,2.56,2.58,2.49,2.51,320000
ACHV,08 Aug 2018,3.45,3.48,3.3,3.42,51100
ACIA,08 Aug 2018,37.92,38.2,37.13,37.44,928500
ACIU,08 Aug 2018,10.09,10.14,9.76,9.93,79900
ACIW,08 Aug 2018,27.3,27.57,27.26,27.5,298600
ACLS,08 Aug 2018,22.15,22.5,22,22.35,200300
ACMR,08 Aug 2018,14.15,14.64,13.76,14.54,81400
ACNB,08 Aug 2018,33.7,33.95,33.55,33.7,2100
ACOR,08 Aug 2018,26.85,26.95,26.5,26.6,243300
ACRS,08 Aug 2018,17.24,17.46,17.05,17.37,157400
ACRX,08 Aug 2018,2.9,3.15,2.9,3.05,1162200
ACST,08 Aug 2018,0.57,0.575,0.556,0.557,124200
ACT,08 Aug 2018,25.76,25.76,25.38,25.41,2700
ACTG,08 Aug 2018,3.85,3.95,3.775,3.95,161500
ACWI,08 Aug 2018,73.68,73.795,73.53,73.71,1906800
ACWX,08 Aug 2018,48.16,48.3,48.06,48.25,2060900
ADAP,08 Aug 2018,8.88,9.16,8.58,8.78,387300
ADBE,08 Aug 2018,252.95,254.57,251.63,253.83,1589800
ADES,08 Aug 2018,11.21,11.44,11.21,11.28,61300
ADI,08 Aug 2018,98.5,98.71,97.94,98.49,1256500
ADIL,08 Aug 2018,4,4,3.8,3.8,23600
ADILW,08 Aug 2018,0.35,0.4,0.35,0.38,4000
ADMA,08 Aug 2018,6.22,6.35,6,6.11,162800
ADMP,08 Aug 2018,3.45,3.53,3.4,3.45,653300
ADMS,08 Aug 2018,24.41,24.92,24.135,24.59,584300
ADP,08 Aug 2018,138.25,138.43,137.01,137.82,1352700
ADRA,08 Aug 2018,33.47,33.47,33.47,33.47,0
ADRD,08 Aug 2018,23.06,23.06,22.92,22.93,3600
ADRE,08 Aug 2018,42.07,42.16,41.85,41.85,13800
ADRO,08 Aug 2018,5.25,5.4,5.1,5.2,247200
ADRU,08 Aug 2018,22.16,22.16,22.16,22.16,0
ADSK,08 Aug 2018,134.83,135.26,133.47,134.14,994700
ADTN,08 Aug 2018,16.35,16.35,15.9,15.95,244000
ADUS,08 Aug 2018,66,67.125,65.605,65.9,130200
ADVM,08 Aug 2018,4.65,4.85,4.6,4.75,271600
