Symbol,Date,Open,High,Low,Close,Volume
AAL,01 Oct 2018,41.41,41.75,39.6,39.61,7213500
AAME,01 Oct 2018,2.55,2.6,2.4,2.6,2600
AAOI,01 Oct 2018,25.37,25.48,23.93,24,2170900
AAON,01 Oct 2018,37.97,38.1,36.37,36.52,168900
AAPL,01 Oct 2018,227.95,229.42,226.35,227.26,23600800
AAWW,01 Oct 2018,63.99,64.47,61.73,62.04,154800
AAXJ,01 Oct 2018,70.93,70.93,70.33,70.46,1649400
AAXN,01 Oct 2018,68.61,69.82,66.58,66.84,376700
ABCB,01 Oct 2018,45.94,46.21,44.845,44.91,199100
ABDC,01 Oct 2018,6.01,6.05,5.98,6,132800
ABEO,01 Oct 2018,12.81,13.02,12.54,12.56,476900
ABEOW,01 Oct 2018,8.53,8.53,8.53,8.53,0
ABIL,01 Oct 2018,3.5,3.5,3.36,3.42,76500
ABIO,01 Oct 2018,10.44,18.9,10.44,18.36,8570100
ABMD,01 Oct 2018,452.9,459.75,442.93,444.25,526900
ABTX,01 Oct 2018,41.76,42.64,40.51,40.61,31000
ABUS,01 Oct 2018,9.45,9.82,9.19,9.66,272100
ACAD,01 Oct 2018,20.82,21.23,20.24,20.79,2022800
ACBI,01 Oct 2018,16.9,17.19,16.395,16.59,77000
ACER,01 Oct 2018,31.19,31.19,30,30.22,21500
ACGL,01 Oct 2018,29.84,30,29.26,29.31,577100
ACGLO,01 Oct 2018,23.81,23.82,23.15,23.2,65400
ACGLP,01 Oct 2018,22.8,22.93,22.48,22.55,115500
ACHC,01 Oct 2018,35.44,35.49,34.45,34.81,677400
ACHN,01 Oct 2018,3.67,3.79,3.6,3.64,1015800
ACHV,01 Oct 2018,3.02,3.09,2.65,2.67,1451000
ACIA,01 Oct 2018,41.3,42.08,40.32,40.54,316200
ACIU,01 Oct 2018,8,8.26,7.92,8.08,153600
ACIW,01 Oct 2018,28.33,28.445,27.22,27.26,438000
ACLS,01 Oct 2018,19.76,19.93,19.48,19.62,398500
ACMR,01 Oct 2018,11.19,11.55,11.1,11.32,22200
ACNB,01 Oct 2018,37.39,40,36.41,36.7,10700
ACOR,01 Oct 2018,19.61,20,19.24,19.77,449700
ACRS,01 Oct 2018,14.55,15.4,14.55,14.9,176100
ACRX,01 Oct 2018,3.89,4,3.75,3.82,1899600
ACST,01 Oct 2018,1.57,1.8,1.51,1.57,10716700
ACT,01 Oct 2018,27.17,27.17,26.835,26.87,6700
ACTG,01 Oct 2018,3.21,3.3,3.18,3.21,136500
ACWI,01 Oct 2018,74.63,74.748,74.325,74.47,1656200
ACWX,01 Oct 2018,47.92,47.99,47.76,47.84,437200
ADAP,01 Oct 2018,13.66,14.24,13.49,13.94,478900
ADBE,01 Oct 2018,271.76,276.63,271.46,275.49,3553400
ADES,01 Oct 2018,11.97,12.06,11.885,11.93,63800
ADI,01 Oct 2018,92.81,93.39,92.25,92.39,1728800
ADIL,01 Oct 2018,2.76,2.86,2.72,2.72,12000
ADILW,01 Oct 2018,0.26,0.26,0.26,0.26,0
ADMA,01 Oct 2018,6.36,6.45,5.75,5.85,363500
ADMP,01 Oct 2018,3.5,3.5,3.08,3.21,1831000
ADMS,01 Oct 2018,20.16,20.16,18.9,18.93,440300
ADP,01 Oct 2018,151.38,152.47,150.31,150.74,1252500
ADRA,01 Oct 2018,32.78,32.78,32.78,32.78,0
ADRD,01 Oct 2018,22.47,22.59,22.44,22.44,2000
ADRE,01 Oct 2018,40.79,40.79,39.81,40.54,8100
ADRO,01 Oct 2018,7.36,7.64,7.05,7.18,584300
ADRU,01 Oct 2018,21.78,21.78,21.78,21.78,100
ADSK,01 Oct 2018,155.65,156.64,154.845,155.5,1490400
ADTN,01 Oct 2018,17.71,17.83,17.37,17.57,337800
ADUS,01 Oct 2018,70.39,71.36,68.895,69.49,174000
ADVM,01 Oct 2018,6.1,6.2,5.81,5.91,450700
ADXS,01 Oct 2018,14.1,14.1,12.75,12.9,1022600
AEGN,01 Oct 2018,25.43,25.54,24.71,24.72,80600
AEHR,01 Oct 2018,2.22,2.28,2.2,2.23,44500
AEIS,01 Oct 2018,51.89,52.87,51.38,52.22,512000
AEMD,01 Oct 2018,1.21,1.21,1.17,1.17,27000
AERI,01 Oct 2018,61.48,62.155,58.75,59.28,615900
AEY,01 Oct 2018,1.41,1.41,1.35,1.37,25500
AEYE,01 Oct 2018,9.05,9.2,8.55,9,2300
AEZS,01 Oct 2018,1.72,1.78,1.72,1.75,38100
AFH,01 Oct 2018,10.05,10.17,10.05,10.16,27000
AFIN,01 Oct 2018,15.58,15.83,15.03,15.29,233200
AFMD,01 Oct 2018,4.57,4.6,4.2,4.25,1144800
AGEN,01 Oct 2018,2.16,2.37,2.12,2.26,3327500
AGFS,01 Oct 2018,6.26,6.47,5.81,6,152600
AGFSW,01 Oct 2018,0.23,0.23,0.2,0.2,7900
AGIO,01 Oct 2018,77.33,79.17,76.295,76.53,328700
AGLE,01 Oct 2018,9.91,10,9.33,9.45,176700
AGMH,01 Oct 2018,34.6,52,33.5,34.89,70500
AGNC,01 Oct 2018,18.6,18.68,18.48,18.61,3761100
AGNCB,01 Oct 2018,25.45,25.54,25.41,25.44,15600
AGNCN,01 Oct 2018,26.16,26.16,25.97,26.07,8500
