Symbol,Date,Open,High,Low,Close,Volume
AAL,19 Aug 2019,26.2,26.69,26.08,26.1,9035400
AAME,19 Aug 2019,2.4,2.4,2.4,2.4,300
AAOI,19 Aug 2019,9.45,9.6,9.25,9.53,360300
AAON,19 Aug 2019,47.84,48.87,47.35,47.38,146600
AAPL,19 Aug 2019,210.62,212.7307,210.025,210.35,24431900
AAWW,19 Aug 2019,27.69,27.8495,27.0866,27.45,514300
AAXJ,19 Aug 2019,65.54,65.59,65.1,65.13,972400
AAXN,19 Aug 2019,60.4,60.91,59.59,60.11,767700
ABCB,19 Aug 2019,37.04,37.14,36.65,36.84,245000
ABDC,19 Aug 2019,8.83,8.9353,8.8,8.89,232800
ABEO,19 Aug 2019,2.25,2.27,2.155,2.23,373500
ABEOW,19 Aug 2019,0.25,0.25,0.25,0.25,100
ABIL,19 Aug 2019,0.62,0.6799,0.5722,0.64,214200
ABIO,19 Aug 2019,5.63,5.69,5.25,5.25,55600
ABMD,19 Aug 2019,195,195,190.22,192.31,469500
ABTX,19 Aug 2019,32.5,32.73,32.28,32.44,45200
ABUS,19 Aug 2019,1.5,1.65,1.45,1.47,158900
ACAD,19 Aug 2019,29.67,29.87,29.11,29.24,699000
ACAMU,19 Aug 2019,10.05,10.05,10,10.04,2500
ACBI,19 Aug 2019,17.73,17.88,17.66,17.68,71800
ACER,19 Aug 2019,2.13,2.34,2.0105,2.18,183900
ACGL,19 Aug 2019,39.86,40.2,39.8,40.07,855500
ACGLO,19 Aug 2019,25.82,25.92,25.67,25.68,41400
ACGLP,19 Aug 2019,24.9,24.96,24.87,24.93,37500
ACHC,19 Aug 2019,27.89,28,27.39,27.43,721900
ACHN,19 Aug 2019,4.86,4.91,4.565,4.65,946300
ACHV,19 Aug 2019,1.85,1.94,1.8192,1.88,50500
ACIA,19 Aug 2019,64.37,64.68,63.93,64,465300
ACIU,19 Aug 2019,5.39,5.83,5.39,5.73,146600
ACIW,19 Aug 2019,29.73,29.87,29.37,29.55,607200
ACLS,19 Aug 2019,15.59,15.59,15.15,15.17,123500
ACMR,19 Aug 2019,14.45,14.53,13.9,14.06,265100
ACNB,19 Aug 2019,35.07,35.3,34.81,35.1,7600
ACOR,19 Aug 2019,2.76,2.94,2.665,2.93,1351500
ACRS,19 Aug 2019,0.87,0.945,0.8541,0.9301,1253200
ACRX,19 Aug 2019,2.27,2.35,2.26,2.33,867700
ACST,19 Aug 2019,1.93,1.98,1.76,1.79,1524100
ACT,19 Aug 2019,24.35,24.4917,24.35,24.43,1000
ACTG,19 Aug 2019,2.85,2.93,2.84,2.89,51500
ACTTW,19 Aug 2019,0.83,0.83,0.83,0.83,200
ACWI,19 Aug 2019,71.96,72.055,71.77,71.84,1769100
ACWX,19 Aug 2019,44.59,44.62,44.425,44.45,1730800
ADAP,19 Aug 2019,1.68,1.8,1.65,1.75,186200
ADBE,19 Aug 2019,291.32,291.77,287.17,287.97,1956100
ADES,19 Aug 2019,11.8,11.94,11.73,11.92,125600
ADI,19 Aug 2019,113.06,113.72,110.81,111.17,2784600
ADIL,19 Aug 2019,1.62,1.69,1.62,1.68,9900
ADMA,19 Aug 2019,4.02,4.11,3.94,4.1,473300
ADMP,19 Aug 2019,1.08,1.12,1.04,1.08,719200
