Symbol,Date,Open,High,Low,Close,Volume
AAL,09 Sep 2019,27.79,28.75,27.71,28.44,8561600
AAOI,09 Sep 2019,10.38,10.85,10.29,10.58,771800
AAON,09 Sep 2019,47.63,47.98,46.69,47.42,95200
AAPL,09 Sep 2019,214.84,216.44,211.07,214.17,27309400
AAWW,09 Sep 2019,27.71,29.38,27.71,29.2,504300
AAXJ,09 Sep 2019,67.31,67.515,67.2,67.46,868400
AAXN,09 Sep 2019,62.44,62.44,59.2348,59.55,633400
ABCB,09 Sep 2019,35.23,35.89,34.67,35.59,541800
ABDC,09 Sep 2019,8.94,8.97,8.88,8.95,11400
ABEO,09 Sep 2019,2.98,3.05,2.78,3.01,887700
ABIL,09 Sep 2019,0.63,0.64,0.581,0.605,23200
ABIO,09 Sep 2019,5.28,5.65,5.23,5.57,37900
ABMD,09 Sep 2019,190.16,190.16,183.08,186.81,429400
ABTX,09 Sep 2019,32.81,34.271,32.73,34.01,203700
ABUS,09 Sep 2019,1.55,1.59,1.51,1.57,117200
ACAD,09 Sep 2019,41.75,43.98,36.62,38.85,22620200
ACAM,09 Sep 2019,9.87,9.87,9.85,9.85,316600
ACAMU,09 Sep 2019,10.06,10.1,10.06,10.1,154200
ACAMW,09 Sep 2019,0.7,0.75,0.66,0.75,108500
ACBI,09 Sep 2019,16.04,16.65,16.03,16.57,97100
ACER,09 Sep 2019,2.82,2.93,2.77,2.91,61300
ACGL,09 Sep 2019,41.47,41.54,41.09,41.34,1544100
ACGLO,09 Sep 2019,25.94,25.9645,25.81,25.85,30300
ACGLP,09 Sep 2019,25.18,25.3,25.18,25.3,41100
ACHC,09 Sep 2019,28.09,29.08,26.83,28.89,2129500
ACHN,09 Sep 2019,4.42,4.42,4.11,4.14,633300
ACHV,09 Sep 2019,2.34,2.45,2.3001,2.39,270900
ACIA,09 Sep 2019,64.35,64.52,63.59,63.73,180100
ACIU,09 Sep 2019,5.1,5.33,5,5.29,138600
ACIW,09 Sep 2019,31.06,31.59,30.87,31.3,1556800
ACLS,09 Sep 2019,15.98,16.52,15.98,16.36,147500
ACMR,09 Sep 2019,14.69,14.7767,14.165,14.33,137900
ACNB,09 Sep 2019,33.5648,33.67,33.5648,33.67,3300
