Symbol,Date,Open,High,Low,Close,Volume
AAL,28 Dec 2018,32.17,32.6,31.51,31.83,6379400
AAME,28 Dec 2018,2.25,2.38,2.25,2.38,1400
AAOI,28 Dec 2018,14.94,15.32,14.57,15.03,662400
AAON,28 Dec 2018,33.84,35.2,33.84,34.85,156400
AAPL,28 Dec 2018,157.5,158.52,154.55,156.23,42291400
AAWW,28 Dec 2018,42.67,43.12,40.79,41.38,243200
AAXJ,28 Dec 2018,63.67,64.12,63.48,63.71,1256400
AAXN,28 Dec 2018,43.04,43.74,42.02,43.03,579000
ABCB,28 Dec 2018,30.91,31.91,30.5,31.44,569600
ABDC,28 Dec 2018,6.36,6.5,6.24,6.41,48000
ABEO,28 Dec 2018,6.65,7.09,6.58,7.02,502200
ABEOW,28 Dec 2018,2.465,2.465,2.465,2.465,0
ABIL,28 Dec 2018,2.61,2.78,1.9,2.02,9925200
ABIO,28 Dec 2018,4.68,5.58,4.68,5.58,147600
ABMD,28 Dec 2018,317.47,324.78,314,318.17,489000
ABTX,28 Dec 2018,30.6,31.69,30.6,31.55,79400
ABUS,28 Dec 2018,3.72,4,3.72,3.88,192700
ACAD,28 Dec 2018,15.36,16,15.11,15.65,1304700
ACBI,28 Dec 2018,16.08,16.72,16.04,16.54,119400
ACER,28 Dec 2018,18.74,18.74,17.5,18.25,32300
ACGL,28 Dec 2018,26.55,26.6,26.175,26.39,1670600
ACGLO,28 Dec 2018,20.1,20.41,20,20.18,69600
ACGLP,28 Dec 2018,19.5,19.91,19.5,19.72,74900
ACHC,28 Dec 2018,25.86,26.01,25.23,25.56,821900
ACHN,28 Dec 2018,1.43,1.51,1.39,1.48,4039500
ACHV,28 Dec 2018,1.2,1.25,1.178,1.195,49700
ACIA,28 Dec 2018,38,38.33,37.07,37.69,296200
ACIU,28 Dec 2018,9.46,10,9.34,9.78,84200
ACIW,28 Dec 2018,27.63,27.89,27.16,27.25,846200
ACLS,28 Dec 2018,17,18.09,17,17.76,249900
ACMR,28 Dec 2018,10.5,10.5,10.21,10.47,28100
ACNB,28 Dec 2018,38.29,38.73,36.96,38.73,9300
ACOR,28 Dec 2018,15,15.385,14.7,14.98,621600
ACRS,28 Dec 2018,6.98,7.39,6.98,7.31,519900
ACRX,28 Dec 2018,2.43,2.48,2.3,2.34,2313500
ACST,28 Dec 2018,0.78,0.78,0.69,0.735,569600
ACT,28 Dec 2018,21.25,21.63,21.25,21.36,19700
ACTG,28 Dec 2018,2.87,3.02,2.83,3,207900
ACWI,28 Dec 2018,64.08,64.475,63.58,63.85,13395900
