Symbol,Date,Open,High,Low,Close,Volume
14D.AX,30 Dec 2019,0.205,0.21,0.2,0.205,42490
14DO.AX,30 Dec 2019,0.03,0.03,0.03,0.03,0
1AD.AX,30 Dec 2019,0.115,0.115,0.115,0.115,18700
1ADO.AX,30 Dec 2019,0.038,0.038,0.038,0.038,0
1AG.AX,30 Dec 2019,0.033,0.033,0.033,0.033,0
1AL.AX,30 Dec 2019,0.86,0.86,0.86,0.86,0
1ST.AX,30 Dec 2019,0.078,0.078,0.078,0.078,8500
2BE.AX,30 Dec 2019,0.13,0.13,0.13,0.13,0
360.AX,30 Dec 2019,2.95,3.2,2.95,3.2,19656
3DA.AX,30 Dec 2019,0.35,0.35,0.34,0.35,69433
3DP.AX,30 Dec 2019,0.055,0.056,0.055,0.055,256205
3PL.AX,30 Dec 2019,0.845,0.86,0.845,0.855,81327
4CE.AX,30 Dec 2019,0.013,0.015,0.013,0.015,140544
4DS.AX,30 Dec 2019,0.057,0.057,0.056,0.056,1033481
5GN.AX,30 Dec 2019,0.755,0.77,0.75,0.765,59003
88E.AX,30 Dec 2019,0.021,0.021,0.02,0.021,5513795
8CO.AX,30 Dec 2019,0.1,0.105,0.1,0.105,112000
8COO.AX,30 Dec 2019,0.06,0.06,0.06,0.06,0
8EC.AX,30 Dec 2019,0.072,0.072,0.072,0.072,32015
8IH.AX,30 Dec 2019,0.08,0.08,0.08,0.08,0
8VI.AX,30 Dec 2019,0.15,0.15,0.15,0.15,0
9SP.AX,30 Dec 2019,0.016,0.017,0.016,0.016,1090209
A1G.AX,30 Dec 2019,0.17,0.17,0.17,0.17,0
A1M.AX,30 Dec 2019,0.3,0.3,0.29,0.29,6487
A200.AX,30 Dec 2019,114.61,114.66,113.85,114.61,14445
A2B.AX,30 Dec 2019,1.5,1.515,1.465,1.5,36938
A2M.AX,30 Dec 2019,14.7,14.7,14.5,14.6,1071137
A2MKOA.AX,30 Dec 2019,5.12,5.12,5.12,5.12,0
A2MKOC.AX,30 Dec 2019,6.7,6.7,6.7,6.7,0
A2MKOG.AX,30 Dec 2019,9.01,9.01,9.01,9.01,0
A2MKOH.AX,30 Dec 2019,7.78,7.78,7.78,7.78,0
A2MKOR.AX,30 Dec 2019,5.89,5.89,5.89,5.89,0
A2MKOT.AX,30 Dec 2019,9.81,9.81,9.81,9.81,0
A2MKOU.AX,30 Dec 2019,4.66,4.66,4.66,4.66,0
A3D.AX,30 Dec 2019,0.2,0.205,0.195,0.205,113000
A3DO.AX,30 Dec 2019,0.06,0.06,0.06,0.06,0
A40.AX,30 Dec 2019,0.082,0.082,0.082,0.082,0
A4N.AX,30 Dec 2019,0.195,0.195,0.19,0.195,231448
AAA.AX,30 Dec 2019,50.12,50.13,50.12,50.12,49688
AAC.AX,30 Dec 2019,1.115,1.12,1.11,1.12,153180
AACKOB.AX,30 Dec 2019,0.405,0.405,0.405,0.405,0
AAJ.AX,30 Dec 2019,0.003,0.003,0.003,0.003,200000
AAP.AX,30 Dec 2019,0.011,0.011,0.011,0.011,0
AAR.AX,30 Dec 2019,0.093,0.093,0.092,0.093,228732
AB1.AX,30 Dec 2019,0.18,0.18,0.18,0.18,0
AB1O.AX,30 Dec 2019,0.1,0.1,0.1,0.1,0
ABA.AX,30 Dec 2019,5.84,5.85,5.83,5.85,39336
