Symbol,Date,Open,High,Low,Close,Volume
14D.AX,08 Apr 2019,0.315,0.315,0.305,0.305,17246
14DO.AX,08 Apr 2019,0.09,0.09,0.09,0.09,0
1AD.AX,08 Apr 2019,0.24,0.24,0.24,0.24,0
1AG.AX,08 Apr 2019,0.04,0.04,0.04,0.04,80645
1AL.AX,08 Apr 2019,0.93,0.93,0.93,0.93,19900
1ST.AX,08 Apr 2019,0.05,0.05,0.05,0.05,20000
3DP.AX,08 Apr 2019,0.043,0.043,0.041,0.042,137612
3PL.AX,08 Apr 2019,1.04,1.05,1.04,1.05,2054289
4CE.AX,08 Apr 2019,0.01,0.01,0.009,0.009,702228
4DS.AX,08 Apr 2019,0.075,0.078,0.074,0.078,2632978
5GN.AX,08 Apr 2019,0.96,1.03,0.96,0.975,1035154
88E.AX,08 Apr 2019,0.014,0.015,0.014,0.014,1939215
8CO.AX,08 Apr 2019,0.054,0.054,0.054,0.054,97137
8COO.AX,08 Apr 2019,0.013,0.013,0.013,0.013,0
8EC.AX,08 Apr 2019,0.72,0.72,0.72,0.72,30000
8IH.AX,08 Apr 2019,0.065,0.065,0.065,0.065,6200
8VI.AX,08 Apr 2019,0.55,0.55,0.55,0.55,0
9SP.AX,08 Apr 2019,0.024,0.025,0.024,0.025,268026
A1G.AX,08 Apr 2019,0.23,0.23,0.22,0.22,23354
A200.AX,08 Apr 2019,103.85,104.08,103.75,104.04,15802
A2B.AX,08 Apr 2019,2.07,2.12,2.06,2.11,11955
A2M.AX,08 Apr 2019,13.9,14.03,13.82,13.84,1700480
A2MKOA.AX,08 Apr 2019,4.72,4.73,4.72,4.73,3000
A2MKOC.AX,08 Apr 2019,6.52,6.52,6.49,6.49,7771
A2MKOG.AX,08 Apr 2019,8.52,8.52,8.52,8.52,0
A2MKOH.AX,08 Apr 2019,7.21,7.21,7.11,7.11,7000
A2MKOR.AX,08 Apr 2019,7.01,7.01,7.01,7.01,0
A3D.AX,08 Apr 2019,0.405,0.41,0.395,0.395,79324
A3DO.AX,08 Apr 2019,0.13,0.13,0.13,0.13,0
A40.AX,08 Apr 2019,0.185,0.185,0.18,0.185,1280808
A4N.AX,08 Apr 2019,0.11,0.11,0.11,0.11,45000
AAA.AX,08 Apr 2019,50.1,50.1,50.09,50.09,43417
AAC.AX,08 Apr 2019,1.085,1.105,1.07,1.075,771946
AACKOB.AX,08 Apr 2019,0.36,0.36,0.36,0.36,0
AAJ.AX,08 Apr 2019,0.006,0.006,0.006,0.006,600000
AAP.AX,08 Apr 2019,0.018,0.018,0.018,0.018,0
AAR.AX,08 Apr 2019,0.08,0.083,0.077,0.082,1835511
AAU.AX,08 Apr 2019,0.007,0.007,0.007,0.007,0
AB1.AX,08 Apr 2019,0.12,0.125,0.115,0.12,10360688
AB1O.AX,08 Apr 2019,0.05,0.05,0.05,0.05,100000
ABA.AX,08 Apr 2019,5.14,5.14,5.09,5.09,33424
ABC.AX,08 Apr 2019,4.38,4.41,4.35,4.4,837059
ABCKOC.AX,08 Apr 2019,1.25,1.25,1.25,1.25,0
ABCKOQ.AX,08 Apr 2019,2.16,2.16,2.16,2.16,0
ABL.AX,08 Apr 2019,0.004,0.004,0.004,0.004,4327
ABP.AX,08 Apr 2019,3.68,3.69,3.64,3.67,309232
ABR.AX,08 Apr 2019,0.215,0.22,0.21,0.21,383272
ABT.AX,08 Apr 2019,0.115,0.115,0.11,0.115,26700
ABV.AX,08 Apr 2019,0.013,0.013,0.013,0.013,0
ABW.AX,08 Apr 2019,0.19,0.19,0.19,0.19,0
ABX.AX,08 Apr 2019,0.105,0.105,0.105,0.105,60000
AC8.AX,08 Apr 2019,0.395,0.43,0.39,0.42,3772015
ACB.AX,08 Apr 2019,0.037,0.04,0.037,0.04,1489706
ACDC.AX,08 Apr 2019,48.62,48.62,48.62,48.62,11
ACF.AX,08 Apr 2019,0.375,0.375,0.355,0.375,212655
ACP.AX,08 Apr 2019,0.008,0.008,0.008,0.008,0
ACQ.AX,08 Apr 2019,1.07,1.09,1.07,1.09,90315
ACR.AX,08 Apr 2019,0.22,0.255,0.22,0.24,928888
ACS.AX,08 Apr 2019,0.006,0.006,0.006,0.006,0
ACW.AX,08 Apr 2019,0.053,0.054,0.052,0.053,1456579
AD1.AX,08 Apr 2019,0.012,0.012,0.012,0.012,388854
AD8.AX,08 Apr 2019,6.04,6.13,6.02,6.02,156403
ADA.AX,08 Apr 2019,0.71,0.742,0.695,0.72,330131
ADD.AX,08 Apr 2019,0.01,0.01,0.01,0.01,0
ADH.AX,08 Apr 2019,1.62,1.62,1.58,1.59,202905
ADI.AX,08 Apr 2019,2.87,2.87,2.85,2.86,44501
ADJ.AX,08 Apr 2019,0.031,0.034,0.03,0.034,1254633
ADN.AX,08 Apr 2019,0.005,0.005,0.005,0.005,100000
ADNOB.AX,08 Apr 2019,0.003,0.003,0.003,0.003,323490
ADO.AX,08 Apr 2019,0.017,0.017,0.017,0.017,619581
ADR.AX,08 Apr 2019,0.037,0.037,0.035,0.035,336917
ADT.AX,08 Apr 2019,0.995,1.015,0.95,1,860004
ADV.AX,08 Apr 2019,0.003,0.003,0.003,0.003,0
ADX.AX,08 Apr 2019,0.006,0.007,0.006,0.007,3037239
ADY.AX,08 Apr 2019,0.012,0.012,0.012,0.012,600
AEB.AX,08 Apr 2019,0.009,0.009,0.009,0.009,0
AEBO.AX,08 Apr 2019,0.002,0.002,0.002,0.002,0
AEE.AX,08 Apr 2019,0.012,0.012,0.011,0.012,1935975
AEF.AX,08 Apr 2019,2.4,2.4,2.32,2.39,59134
AEG.AX,08 Apr 2019,0.945,0.95,0.94,0.94,81152
AEI.AX,08 Apr 2019,0.16,0.16,0.16,0.16,40000
AER.AX,08 Apr 2019,0.052,0.052,0.052,0.052,0
AEV.AX,08 Apr 2019,0.014,0.014,0.014,0.014,24355
AFA.AX,08 Apr 2019,0.11,0.11,0.11,0.11,0
AFG.AX,08 Apr 2019,1.23,1.245,1.225,1.23,303993
AFI.AX,08 Apr 2019,5.94,5.96,5.91,5.94,412747
AFP.AX,08 Apr 2019,1.975,1.975,1.975,1.975,0
