Symbol,Date,Open,High,Low,Close,Volume
14D.AX,24 Jul 2019,0.28,0.28,0.275,0.275,60709
14DO.AX,24 Jul 2019,0.06,0.06,0.06,0.06,1445
1AD.AX,24 Jul 2019,0.205,0.205,0.205,0.205,0
1ADO.AX,24 Jul 2019,0.06,0.06,0.06,0.06,0
1AG.AX,24 Jul 2019,0.036,0.036,0.036,0.036,0
1AL.AX,24 Jul 2019,0.84,0.84,0.84,0.84,0
1ST.AX,24 Jul 2019,0.089,0.09,0.084,0.085,1551094
2BE.AX,24 Jul 2019,0.32,0.33,0.31,0.33,79270
360.AX,24 Jul 2019,3.5,3.59,3.41,3.59,36925
3DP.AX,24 Jul 2019,0.052,0.053,0.052,0.053,224264
3PL.AX,24 Jul 2019,0.995,1,0.98,1,8234
4CE.AX,24 Jul 2019,0.021,0.024,0.021,0.024,9230230
4DS.AX,24 Jul 2019,0.056,0.057,0.054,0.054,2213705
5GN.AX,24 Jul 2019,1.3,1.415,1.3,1.39,836782
88E.AX,24 Jul 2019,0.017,0.018,0.017,0.018,5782502
8CO.AX,24 Jul 2019,0.135,0.135,0.115,0.12,320187
8COO.AX,24 Jul 2019,0.105,0.105,0.105,0.105,0
8EC.AX,24 Jul 2019,0.81,0.815,0.81,0.815,71540
8IH.AX,24 Jul 2019,0.067,0.067,0.067,0.067,0
8VI.AX,24 Jul 2019,0.49,0.49,0.49,0.49,0
9SP.AX,24 Jul 2019,0.023,0.025,0.023,0.025,6194559
A1G.AX,24 Jul 2019,0.155,0.16,0.155,0.155,65123
A1M.AX,24 Jul 2019,0.43,0.43,0.43,0.43,0
A200.AX,24 Jul 2019,112.97,113.33,112.85,113.14,58101
A2B.AX,24 Jul 2019,1.795,1.795,1.74,1.775,56712
A2M.AX,24 Jul 2019,16.7,16.73,16.25,16.33,2454557
A2MKOA.AX,24 Jul 2019,6.99,6.99,6.99,6.99,500
A2MKOC.AX,24 Jul 2019,8.86,8.86,8.65,8.65,3462
A2MKOG.AX,24 Jul 2019,10.9,10.9,10.9,10.9,0
A2MKOH.AX,24 Jul 2019,9.86,9.86,9.86,9.86,0
A2MKOR.AX,24 Jul 2019,7.89,7.89,7.89,7.89,0
A2MKOT.AX,24 Jul 2019,6.01,6.01,6.01,6.01,0
A3D.AX,24 Jul 2019,0.35,0.35,0.34,0.34,19512
A3DO.AX,24 Jul 2019,0.15,0.15,0.15,0.15,0
A40.AX,24 Jul 2019,0.13,0.13,0.13,0.13,0
A4N.AX,24 Jul 2019,0.11,0.115,0.11,0.115,192274
AAA.AX,24 Jul 2019,50.12,50.12,50.11,50.12,214194
AAC.AX,24 Jul 2019,1.065,1.07,1.05,1.055,123298
AACKOB.AX,24 Jul 2019,0.3,0.3,0.3,0.3,0
AAJ.AX,24 Jul 2019,0.004,0.004,0.004,0.004,2261873
AAP.AX,24 Jul 2019,0.015,0.015,0.015,0.015,0
AAR.AX,24 Jul 2019,0.058,0.06,0.058,0.06,42904
AAU.AX,24 Jul 2019,0.008,0.008,0.008,0.008,0
AB1.AX,24 Jul 2019,0.16,0.165,0.155,0.16,576201
AB1O.AX,24 Jul 2019,0.1,0.1,0.1,0.1,0
ABA.AX,24 Jul 2019,5.47,5.54,5.46,5.5,19194
ABC.AX,24 Jul 2019,4.3,4.365,4.27,4.33,2201304
ABCKOQ.AX,24 Jul 2019,1.205,1.205,1.205,1.205,0
ABL.AX,24 Jul 2019,0.002,0.002,0.002,0.002,0
ABP.AX,24 Jul 2019,4.27,4.27,4.27,4.27,0
ABR.AX,24 Jul 2019,0.245,0.25,0.24,0.25,638022
ABT.AX,24 Jul 2019,0.065,0.065,0.065,0.065,0
ABV.AX,24 Jul 2019,0.02,0.02,0.02,0.02,0
ABW.AX,24 Jul 2019,0.19,0.19,0.19,0.19,0
ABX.AX,24 Jul 2019,0.12,0.125,0.12,0.125,90000
AC8.AX,24 Jul 2019,0.455,0.455,0.435,0.445,1463465
ACB.AX,24 Jul 2019,0.032,0.032,0.032,0.032,26784
ACDC.AX,24 Jul 2019,47.78,47.78,47.66,47.66,1095
ACF.AX,24 Jul 2019,0.33,0.33,0.325,0.325,46790
ACP.AX,24 Jul 2019,0.008,0.008,0.008,0.008,0
ACQ.AX,24 Jul 2019,1.06,1.06,1.045,1.045,31420
ACR.AX,24 Jul 2019,0.185,0.185,0.185,0.185,0
ACS.AX,24 Jul 2019,0.006,0.006,0.006,0.006,0
ACW.AX,24 Jul 2019,0.009,0.01,0.009,0.009,1324358
AD1.AX,24 Jul 2019,0.02,0.021,0.018,0.018,1768139
AD8.AX,24 Jul 2019,7.49,7.87,7.46,7.79,199746
ADA.AX,24 Jul 2019,0.45,0.45,0.44,0.45,57316
ADD.AX,24 Jul 2019,0.009,0.009,0.009,0.009,0
ADH.AX,24 Jul 2019,1.505,1.52,1.482,1.5,467912
ADI.AX,24 Jul 2019,2.83,2.85,2.82,2.83,286122
ADJ.AX,24 Jul 2019,0.035,0.035,0.034,0.034,155290
