Symbol,Date,Open,High,Low,Close,Volume
14D.AX,03 Oct 2019,0.205,0.205,0.195,0.195,292023
14DO.AX,03 Oct 2019,0.06,0.06,0.06,0.06,0
1AD.AX,03 Oct 2019,0.15,0.15,0.15,0.15,23666
1ADO.AX,03 Oct 2019,0.05,0.05,0.05,0.05,0
1AG.AX,03 Oct 2019,0.039,0.039,0.039,0.039,76550
1AL.AX,03 Oct 2019,0.84,0.84,0.84,0.84,0
1ST.AX,03 Oct 2019,0.062,0.062,0.062,0.062,10000
2BE.AX,03 Oct 2019,0.29,0.29,0.29,0.29,0
360.AX,03 Oct 2019,3.5,3.65,3.41,3.65,18901
3DP.AX,03 Oct 2019,0.045,0.048,0.044,0.048,651530
3PL.AX,03 Oct 2019,0.88,0.88,0.88,0.88,36047
4CE.AX,03 Oct 2019,0.018,0.018,0.018,0.018,0
4DS.AX,03 Oct 2019,0.085,0.094,0.079,0.079,46418109
5GN.AX,03 Oct 2019,0.72,0.752,0.71,0.75,244222
88E.AX,03 Oct 2019,0.012,0.012,0.011,0.012,11101058
8CO.AX,03 Oct 2019,0.097,0.097,0.097,0.097,0
8COO.AX,03 Oct 2019,0.052,0.052,0.05,0.05,159688
8EC.AX,03 Oct 2019,0.078,0.078,0.078,0.078,200000
8IH.AX,03 Oct 2019,0.09,0.09,0.09,0.09,0
8VI.AX,03 Oct 2019,0.2,0.2,0.2,0.2,0
9SP.AX,03 Oct 2019,0.021,0.021,0.02,0.021,15826976
A1G.AX,03 Oct 2019,0.215,0.215,0.215,0.215,24872
A1M.AX,03 Oct 2019,0.395,0.395,0.395,0.395,10695
A200.AX,03 Oct 2019,108.88,108.95,108.3,108.82,50300
A2B.AX,03 Oct 2019,1.435,1.475,1.425,1.475,67236
A2M.AX,03 Oct 2019,12.06,12.35,12.02,12.15,4124339
A2MKOA.AX,03 Oct 2019,2.8,2.8,2.8,2.8,7500
A2MKOC.AX,03 Oct 2019,4.5,4.5,4.5,4.5,500
A2MKOG.AX,03 Oct 2019,7.5,7.5,7.5,7.5,0
A2MKOH.AX,03 Oct 2019,7.49,7.49,7.49,7.49,0
A2MKOR.AX,03 Oct 2019,8.63,8.63,8.63,8.63,0
