Symbol,Date,Open,High,Low,Close,Volume
1AD.AX,29 Aug 2018,0.3,0.3,0.3,0.3,30000
1AG.AX,29 Aug 2018,0.05,0.05,0.05,0.05,1500
1AL.AX,29 Aug 2018,0.955,0.955,0.955,0.955,0
1ST.AX,29 Aug 2018,0.039,0.039,0.039,0.039,1384
3DP.AX,29 Aug 2018,0.024,0.026,0.024,0.024,466304
3PL.AX,29 Aug 2018,1.23,1.23,1.23,1.23,0
4CE.AX,29 Aug 2018,0.028,0.028,0.026,0.026,544824
4DS.AX,29 Aug 2018,0.105,0.11,0.102,0.105,3839218
5GN.AX,29 Aug 2018,0.555,0.58,0.555,0.58,46844
88E.AX,29 Aug 2018,0.021,0.022,0.021,0.022,9944184
8CO.AX,29 Aug 2018,0.043,0.043,0.041,0.042,530208
8COO.AX,29 Aug 2018,0.02,0.02,0.02,0.02,0
8EC.AX,29 Aug 2018,0.94,0.94,0.94,0.94,0
8IH.AX,29 Aug 2018,0.115,0.115,0.11,0.11,36672
9SP.AX,29 Aug 2018,0.053,0.053,0.053,0.053,0
A200.AX,29 Aug 2018,105.45,105.94,105.45,105.94,3107
A2M.AX,29 Aug 2018,11.6,11.91,11.53,11.89,5355630
A2MKOC.AX,29 Aug 2018,9.49,9.56,9.49,9.56,2000
A2MKOG.AX,29 Aug 2018,5.5,5.5,5.5,5.5,0
A2MKOH.AX,29 Aug 2018,5.03,5.25,5.03,5.25,10250
A3D.AX,29 Aug 2018,0.43,0.435,0.42,0.42,112600
A3DO.AX,29 Aug 2018,0.15,0.15,0.15,0.15,0
AAA.AX,29 Aug 2018,50.14,50.16,50.14,50.15,272373
AAC.AX,29 Aug 2018,1.4,1.41,1.38,1.405,320273
AACKOB.AX,29 Aug 2018,0.67,0.67,0.67,0.67,0
AAJ.AX,29 Aug 2018,0.009,0.009,0.009,0.009,251217
AAP.AX,29 Aug 2018,0.03,0.03,0.03,0.03,0
AAR.AX,29 Aug 2018,0.087,0.089,0.084,0.089,284499
AAU.AX,29 Aug 2018,0.015,0.015,0.015,0.015,0
AB1.AX,29 Aug 2018,0.09,0.094,0.086,0.091,6548379
ABA.AX,29 Aug 2018,5.66,5.74,5.6,5.72,31593
ABC.AX,29 Aug 2018,6.43,6.48,6.39,6.44,2080395
ABCKOQ.AX,29 Aug 2018,1.975,1.975,1.975,1.975,0
ABL.AX,29 Aug 2018,0.005,0.005,0.005,0.005,0
ABP.AX,29 Aug 2018,3.53,3.53,3.43,3.48,1461148
ABR.AX,29 Aug 2018,0.18,0.18,0.18,0.18,33532
ABT.AX,29 Aug 2018,0.21,0.21,0.21,0.21,0
ABV.AX,29 Aug 2018,0.002,0.002,0.002,0.002,0
ABW.AX,29 Aug 2018,0.37,0.37,0.37,0.37,0
ABX.AX,29 Aug 2018,0.13,0.13,0.13,0.13,53052
AC8.AX,29 Aug 2018,1.005,1.03,0.975,0.995,356052
ACB.AX,29 Aug 2018,0.039,0.039,0.038,0.038,32353
ACF.AX,29 Aug 2018,0.435,0.485,0.425,0.475,1462527
ACP.AX,29 Aug 2018,0.009,0.009,0.009,0.009,0
ACQ.AX,29 Aug 2018,1.28,1.3,1.28,1.29,168374
ACR.AX,29 Aug 2018,0.21,0.217,0.2,0.215,172179
ACS.AX,29 Aug 2018,0.01,0.01,0.01,0.01,0
ACW.AX,29 Aug 2018,0.059,0.059,0.059,0.059,450000
AD1.AX,29 Aug 2018,0.04,0.04,0.04,0.04,0
AD8.AX,29 Aug 2018,3.79,3.95,3.78,3.9,199948
ADA.AX,29 Aug 2018,1.65,1.65,1.625,1.64,137507
ADD.AX,29 Aug 2018,0.01,0.01,0.01,0.01,0
ADH.AX,29 Aug 2018,2.5,2.57,2.45,2.54,1705329
ADJ.AX,29 Aug 2018,0.038,0.041,0.037,0.039,3664560
ADN.AX,29 Aug 2018,0.006,0.006,0.006,0.006,7399163
ADNOB.AX,29 Aug 2018,0.003,0.003,0.003,0.003,5000000
ADO.AX,29 Aug 2018,0.014,0.014,0.014,0.014,669379
ADR.AX,29 Aug 2018,0.085,0.088,0.082,0.087,122835
ADT.AX,29 Aug 2018,0.425,0.43,0.35,0.37,1481725
ADV.AX,29 Aug 2018,0.01,0.01,0.01,0.01,1967428
ADX.AX,29 Aug 2018,0.012,0.012,0.012,0.012,144472
ADY.AX,29 Aug 2018,0.015,0.015,0.015,0.015,0
AEB.AX,29 Aug 2018,0.017,0.017,0.017,0.017,245529
AEBO.AX,29 Aug 2018,0.004,0.004,0.004,0.004,0
AEE.AX,29 Aug 2018,0.022,0.022,0.021,0.022,2333622
AEF.AX,29 Aug 2018,161.5,167.85,161.5,161.88,588
AEG.AX,29 Aug 2018,1.225,1.235,1.2,1.225,179124
AEI.AX,29 Aug 2018,0.165,0.165,0.165,0.165,0
AER.AX,29 Aug 2018,0.049,0.049,0.049,0.049,0
AEV.AX,29 Aug 2018,0.02,0.02,0.02,0.02,479655
AFA.AX,29 Aug 2018,0.105,0.105,0.105,0.105,13282
AFG.AX,29 Aug 2018,1.575,1.64,1.565,1.63,434473
AFI.AX,29 Aug 2018,6.25,6.25,6.22,6.22,225029
AFP.AX,29 Aug 2018,2,2,2,2,0
AFR.AX,29 Aug 2018,0.023,0.023,0.023,0.023,135000
AFT.AX,29 Aug 2018,0.001,0.001,0.001,0.001,0
AGD.AX,29 Aug 2018,0.074,0.074,0.074,0.074,0
AGE.AX,29 Aug 2018,0.009,0.01,0.008,0.01,2241522
AGEO.AX,29 Aug 2018,0.003,0.003,0.003,0.003,550000
AGG.AX,29 Aug 2018,2.22,2.27,2.22,2.27,8368
AGI.AX,29 Aug 2018,1.14,1.16,1.13,1.16,150903
AGJ.AX,29 Aug 2018,0.045,0.045,0.045,0.045,0
AGL.AX,29 Aug 2018,20.72,20.88,20.53,20.65,2513780
AGLKOB.AX,29 Aug 2018,1.13,1.13,1.13,1.13,0
AGLKOC.AX,29 Aug 2018,4,4,4,4,0
AGLKOD.AX,29 Aug 2018,2.66,2.66,2.66,2.66,0
AGM.AX,29 Aug 2018,1.8,1.8,1.8,1.8,0
AGR.AX,29 Aug 2018,0.14,0.14,0.13,0.13,404498
