Symbol,Date,Open,High,Low,Close,Volume
14D.AX,05 Sep 2019,0.22,0.22,0.205,0.21,186249
14DO.AX,05 Sep 2019,0.05,0.05,0.05,0.05,0
1AD.AX,05 Sep 2019,0.115,0.125,0.115,0.125,309561
1ADO.AX,05 Sep 2019,0.037,0.037,0.037,0.037,0
1AG.AX,05 Sep 2019,0.038,0.038,0.037,0.037,82226
1AL.AX,05 Sep 2019,0.8,0.8,0.8,0.8,0
1ST.AX,05 Sep 2019,0.057,0.057,0.055,0.057,931570
2BE.AX,05 Sep 2019,0.305,0.305,0.3,0.3,126528
360.AX,05 Sep 2019,3.4,3.42,3.38,3.41,42690
3DP.AX,05 Sep 2019,0.047,0.047,0.043,0.043,426280
3PL.AX,05 Sep 2019,0.83,0.9,0.83,0.9,34423
4CE.AX,05 Sep 2019,0.017,0.019,0.016,0.018,5207108
4DS.AX,05 Sep 2019,0.053,0.06,0.053,0.055,5131543
5GN.AX,05 Sep 2019,0.92,0.92,0.87,0.895,460362
88E.AX,05 Sep 2019,0.014,0.015,0.013,0.013,4193184
8CO.AX,05 Sep 2019,0.1,0.1,0.095,0.095,457831
8COO.AX,05 Sep 2019,0.075,0.075,0.075,0.075,0
8EC.AX,05 Sep 2019,0.31,0.31,0.31,0.31,48617
8IH.AX,05 Sep 2019,0.085,0.085,0.085,0.085,0
8VI.AX,05 Sep 2019,0.3,0.3,0.3,0.3,120
9SP.AX,05 Sep 2019,0.019,0.019,0.018,0.019,6878083
A1G.AX,05 Sep 2019,0.22,0.235,0.215,0.215,365000
A1M.AX,05 Sep 2019,0.4,0.41,0.4,0.4,102346
A200.AX,05 Sep 2019,110.91,112.13,110.91,111.95,11761
A2B.AX,05 Sep 2019,1.49,1.495,1.45,1.49,169567
A2M.AX,05 Sep 2019,13.99,14.23,13.83,14.18,4808903
A2MKOA.AX,05 Sep 2019,4.62,4.77,4.62,4.77,2900
A2MKOC.AX,05 Sep 2019,6.44,6.49,6.44,6.47,12145
A2MKOG.AX,05 Sep 2019,10.9,10.9,10.9,10.9,0
A2MKOH.AX,05 Sep 2019,7.04,7.17,7.04,7.17,6000
A2MKOR.AX,05 Sep 2019,8.63,8.63,8.63,8.63,0
A2MKOT.AX,05 Sep 2019,7.1,7.1,7.1,7.1,0
A2MKOU.AX,05 Sep 2019,5.3,5.3,5.3,5.3,2000
A3D.AX,05 Sep 2019,0.28,0.31,0.28,0.31,62303
A3DO.AX,05 Sep 2019,0.15,0.15,0.15,0.15,0
A40.AX,05 Sep 2019,0.082,0.082,0.082,0.082,0
A4N.AX,05 Sep 2019,0.125,0.13,0.125,0.13,818675
AAA.AX,05 Sep 2019,50.08,50.09,50.08,50.09,93333
AAC.AX,05 Sep 2019,1.03,1.04,1.01,1.025,365142
AACKOB.AX,05 Sep 2019,0.29,0.305,0.29,0.305,42800
AAJ.AX,05 Sep 2019,0.006,0.007,0.006,0.007,175000
AAP.AX,05 Sep 2019,0.015,0.015,0.015,0.015,0
AAR.AX,05 Sep 2019,0.065,0.068,0.065,0.066,147970
AAU.AX,05 Sep 2019,0.007,0.007,0.007,0.007,0
AB1.AX,05 Sep 2019,0.18,0.18,0.18,0.18,0
AB1O.AX,05 Sep 2019,0.1,0.1,0.1,0.1,0
ABA.AX,05 Sep 2019,5.8,5.8,5.77,5.79,54297
ABC.AX,05 Sep 2019,2.88,2.96,2.87,2.95,2936942
ABCKOC.AX,05 Sep 2019,0.62,0.62,0.62,0.62,0
ABCKOQ.AX,05 Sep 2019,1.245,1.245,1.245,1.245,0
ABL.AX,05 Sep 2019,0.003,0.003,0.003,0.003,0
ABP.AX,05 Sep 2019,3.93,3.98,3.93,3.97,1096219
ABR.AX,05 Sep 2019,0.39,0.4,0.38,0.38,175337
ABT.AX,05 Sep 2019,0.054,0.054,0.054,0.054,0
ABV.AX,05 Sep 2019,0.023,0.023,0.023,0.023,0
ABW.AX,05 Sep 2019,0.19,0.19,0.19,0.19,0
ABX.AX,05 Sep 2019,0.11,0.11,0.11,0.11,17325
AC8.AX,05 Sep 2019,0.365,0.375,0.36,0.36,338129
ACB.AX,05 Sep 2019,0.03,0.03,0.03,0.03,0
