Symbol,Date,Open,High,Low,Close,Volume
1AD.AX,26 Feb 2018,0.32,0.32,0.3,0.3,12800
1AG.AX,26 Feb 2018,0.031,0.032,0.03,0.032,975847
1AL.AX,26 Feb 2018,0.9,0.9,0.9,0.9,0
1ST.AX,26 Feb 2018,0.051,0.051,0.051,0.051,0
3DP.AX,26 Feb 2018,0.088,0.089,0.087,0.088,531542
3PL.AX,26 Feb 2018,1.57,1.57,1.485,1.525,286420
4CE.AX,26 Feb 2018,0.105,0.11,0.1,0.1,6681937
4DS.AX,26 Feb 2018,0.089,0.09,0.084,0.085,3680454
5GN.AX,26 Feb 2018,0.605,0.605,0.59,0.59,54265
88E.AX,26 Feb 2018,0.028,0.03,0.028,0.029,4844542
8CO.AX,26 Feb 2018,0.052,0.053,0.05,0.052,718507
8EC.AX,26 Feb 2018,0.97,0.97,0.97,0.97,9532
8IH.AX,26 Feb 2018,0.185,0.185,0.18,0.18,37698
9SP.AX,26 Feb 2018,0.053,0.053,0.05,0.05,89538
A2M.AX,26 Feb 2018,11.75,12.33,11.7,12.2,6806595
A2MKOA.AX,26 Feb 2018,7,7,7,7,0
A2MKOC.AX,26 Feb 2018,9.49,9.49,9.49,9.49,0
A2MKOG.AX,26 Feb 2018,6.8,6.8,6.8,6.8,0
A2MKOH.AX,26 Feb 2018,5.43,5.97,5.43,5.9,107300
A2MKOR.AX,26 Feb 2018,6.53,6.53,6.53,6.53,800
A2MKOT.AX,26 Feb 2018,3.4,3.4,3.4,3.4,937
A3D.AX,26 Feb 2018,0.83,0.87,0.81,0.83,396875
AAA.AX,26 Feb 2018,50.14,50.15,50.14,50.14,31788
AAC.AX,26 Feb 2018,1.135,1.19,1.125,1.14,2643103
AACKOB.AX,26 Feb 2018,0.67,0.67,0.67,0.67,0
AAJ.AX,26 Feb 2018,0.023,0.025,0.023,0.023,3514188
AAP.AX,26 Feb 2018,0.03,0.03,0.03,0.03,0
AAR.AX,26 Feb 2018,0.078,0.083,0.077,0.083,458700
AAU.AX,26 Feb 2018,0.009,0.009,0.009,0.009,0
AB1.AX,26 Feb 2018,0.074,0.075,0.068,0.069,13877601
ABA.AX,26 Feb 2018,5.43,5.57,5.42,5.56,60278
ABC.AX,26 Feb 2018,6.99,7.01,6.95,6.98,772172
ABCKOQ.AX,26 Feb 2018,1.865,1.865,1.865,1.865,0
ABL.AX,26 Feb 2018,0.008,0.008,0.008,0.008,0
ABP.AX,26 Feb 2018,3.49,3.495,3.45,3.48,739534
ABR.AX,26 Feb 2018,0.33,0.33,0.32,0.325,88827
ABT.AX,26 Feb 2018,0.435,0.44,0.41,0.44,88981
ABV.AX,26 Feb 2018,0.005,0.005,0.005,0.005,0
ABW.AX,26 Feb 2018,0.57,0.57,0.57,0.57,19000
ABX.AX,26 Feb 2018,0.11,0.11,0.11,0.11,0
AC8.AX,26 Feb 2018,1.47,1.545,1.46,1.535,654616
ACB.AX,26 Feb 2018,0.038,0.038,0.038,0.038,51840
ACP.AX,26 Feb 2018,0.017,0.017,0.017,0.017,0
ACQ.AX,26 Feb 2018,1.165,1.185,1.14,1.185,100099
ACR.AX,26 Feb 2018,0.165,0.165,0.16,0.165,85325
ACS.AX,26 Feb 2018,0.015,0.015,0.015,0.015,0
ACW.AX,26 Feb 2018,0.048,0.049,0.047,0.049,686998
AD1.AX,26 Feb 2018,0.094,0.097,0.094,0.094,285626
AD8.AX,26 Feb 2018,2.83,2.88,2.83,2.88,14105
ADA.AX,26 Feb 2018,2.46,2.49,2.27,2.27,165490
ADD.AX,26 Feb 2018,0.013,0.013,0.013,0.013,0
ADH.AX,26 Feb 2018,2.29,2.32,2.1,2.16,430841
ADJ.AX,26 Feb 2018,0.024,0.024,0.023,0.023,200692
ADN.AX,26 Feb 2018,0.008,0.008,0.008,0.008,125000
ADNOB.AX,26 Feb 2018,0.003,0.003,0.003,0.003,0
ADO.AX,26 Feb 2018,0.014,0.014,0.014,0.014,1079362
ADR.AX,26 Feb 2018,0.082,0.082,0.082,0.082,100000
ADV.AX,26 Feb 2018,0.019,0.019,0.017,0.018,3537260
ADX.AX,26 Feb 2018,0.013,0.013,0.011,0.012,1279043
ADY.AX,26 Feb 2018,0.008,0.008,0.008,0.008,0
AEB.AX,26 Feb 2018,0.033,0.034,0.033,0.033,4400332
AEBO.AX,26 Feb 2018,0.009,0.009,0.009,0.009,108000
AEE.AX,26 Feb 2018,0.023,0.023,0.023,0.023,350000
AEF.AX,26 Feb 2018,152.39,152.4,148,148,259
AEG.AX,26 Feb 2018,1.075,1.075,1.065,1.07,73191
AEI.AX,26 Feb 2018,0.225,0.225,0.225,0.225,3740
AER.AX,26 Feb 2018,0.048,0.048,0.048,0.048,0
AEV.AX,26 Feb 2018,0.036,0.038,0.036,0.038,285635
AFA.AX,26 Feb 2018,0.2,0.2,0.2,0.2,0
AFG.AX,26 Feb 2018,1.88,1.88,1.83,1.835,330771
AFI.AX,26 Feb 2018,6.12,6.14,6.07,6.07,739840
AFP.AX,26 Feb 2018,2.24,2.24,2.24,2.24,0
AFR.AX,26 Feb 2018,0.028,0.028,0.028,0.028,0
AFT.AX,26 Feb 2018,0.001,0.001,0.001,0.001,800000
AGD.AX,26 Feb 2018,0.12,0.12,0.12,0.12,16500
AGE.AX,26 Feb 2018,0.01,0.01,0.01,0.01,33740
AGEO.AX,26 Feb 2018,0.004,0.004,0.004,0.004,0
AGG.AX,26 Feb 2018,2.75,2.75,2.75,2.75,1078
AGI.AX,26 Feb 2018,2.18,2.2,2.14,2.16,94696
AGJ.AX,26 Feb 2018,0.06,0.06,0.06,0.06,0
AGL.AX,26 Feb 2018,21.71,21.78,21.44,21.7,2102863
AGLKOB.AX,26 Feb 2018,1.13,1.13,1.13,1.13,0
AGLKOQ.AX,26 Feb 2018,4.6,4.6,4.6,4.6,0
AGR.AX,26 Feb 2018,0.28,0.3,0.28,0.3,45000
AGS.AX,26 Feb 2018,0.14,0.14,0.135,0.135,148800
AGY.AX,26 Feb 2018,0.295,0.33,0.295,0.315,8371510
AHF.AX,26 Feb 2018,0.115,0.115,0.11,0.115,269889
AHK.AX,26 Feb 2018,0.07,0.07,0.07,0.07,3000
AHL.AX,26 Feb 2018,0.032,0.032,0.032,0.032,804482
AHN.AX,26 Feb 2018,0.033,0.033,0.033,0.033,0
AHQ.AX,26 Feb 2018,0.06,0.064,0.06,0.064,21000
AHX.AX,26 Feb 2018,0.825,0.83,0.81,0.83,95200
AHY.AX,26 Feb 2018,1.47,1.485,1.44,1.445,1480114
AHZ.AX,26 Feb 2018,0.25,0.255,0.25,0.25,56404
AIA.AX,26 Feb 2018,6.01,6.02,5.95,5.99,76253
AIB.AX,26 Feb 2018,0.45,0.45,0.45,0.45,5553
AIQ.AX,26 Feb 2018,0.091,0.092,0.091,0.091,301180
AIR.AX,26 Feb 2018,0.065,0.065,0.065,0.065,0
AIS.AX,26 Feb 2018,0.16,0.16,0.135,0.135,82265
AIV.AX,26 Feb 2018,0.15,0.15,0.15,0.15,10000
AIY.AX,26 Feb 2018,0.04,0.04,0.032,0.033,1179327
AIZ.AX,26 Feb 2018,2.88,2.9,2.85,2.89,47267
AJC.AX,26 Feb 2018,0.002,0.002,0.002,0.002,0
AJJ.AX,26 Feb 2018,0.09,0.09,0.09,0.09,10000
AJL.AX,26 Feb 2018,0.38,0.38,0.34,0.345,151383
AJM.AX,26 Feb 2018,0.375,0.385,0.372,0.38,5087064
AJQ.AX,26 Feb 2018,0.082,0.082,0.081,0.081,280000
AJX.AX,26 Feb 2018,0.315,0.315,0.31,0.315,108420
AJY.AX,26 Feb 2018,0.12,0.12,0.12,0.12,0
AKG.AX,26 Feb 2018,0.5,0.5,0.5,0.5,7168
AKM.AX,26 Feb 2018,0.011,0.011,0.01,0.01,2171222
AKN.AX,26 Feb 2018,0.005,0.005,0.005,0.005,0
AKP.AX,26 Feb 2018,15.56,17.85,15.4,17,13501
AL8.AX,26 Feb 2018,1.1,1.1,1.005,1.05,22844
ALC.AX,26 Feb 2018,0.042,0.042,0.041,0.042,232804
ALF.AX,26 Feb 2018,1.01,1.025,1.01,1.02,342393
ALI.AX,26 Feb 2018,1.71,1.745,1.71,1.74,205517
ALK.AX,26 Feb 2018,0.29,0.29,0.28,0.29,819534
ALL.AX,26 Feb 2018,24.7,24.74,24.25,24.3,1428275
ALLKOC.AX,26 Feb 2018,4.6,4.6,4.6,4.6,0
ALLKOD.AX,26 Feb 2018,16,16,16,16,0
ALLKOG.AX,26 Feb 2018,13.97,13.97,13.97,13.97,0
ALLKOP.AX,26 Feb 2018,3.66,3.66,3.66,3.66,1000
ALLKOQ.AX,26 Feb 2018,5.28,5.28,5.28,5.28,5000
ALQ.AX,26 Feb 2018,7.1,7.22,7.02,7.04,2479758
ALQKOB.AX,26 Feb 2018,2.08,2.08,2.08,2.08,0
ALQKOE.AX,26 Feb 2018,1.295,1.295,1.295,1.295,0
ALQKOR.AX,26 Feb 2018,3.27,3.27,3.27,3.27,0
ALT.AX,26 Feb 2018,0.005,0.005,0.005,0.005,1000
ALU.AX,26 Feb 2018,20.12,20.5,19.78,19.87,894337
ALUKOA.AX,26 Feb 2018,7.49,7.49,7.49,7.49,0
ALUKOB.AX,26 Feb 2018,4.54,4.54,4.54,4.54,1000
ALY.AX,26 Feb 2018,0.02,0.021,0.02,0.021,31000
AMA.AX,26 Feb 2018,1.15,1.195,1.15,1.15,281692
AMB.AX,26 Feb 2018,0.16,0.16,0.16,0.16,0
AMC.AX,26 Feb 2018,14.23,14.51,14.07,14.33,3715730
AMCKOQ.AX,26 Feb 2018,3.22,3.22,3.22,3.22,0
AMCKOS.AX,26 Feb 2018,2.75,2.75,2.75,2.75,0
AMD.AX,26 Feb 2018,0.037,0.037,0.034,0.035,448258
AMDOA.AX,26 Feb 2018,0.008,0.008,0.008,0.008,0
AME.AX,26 Feb 2018,0.077,0.077,0.077,0.077,0
AMG.AX,26 Feb 2018,0.068,0.068,0.068,0.068,0
AMH.AX,26 Feb 2018,0.89,0.905,0.89,0.9,119696
AMI.AX,26 Feb 2018,0.375,0.385,0.365,0.375,596010
AML.AX,26 Feb 2018,0.25,0.26,0.245,0.25,703710
AMN.AX,26 Feb 2018,0.935,0.945,0.9,0.9,30901
AMO.AX,26 Feb 2018,0.12,0.12,0.12,0.12,0
AMP.AX,26 Feb 2018,5.27,5.28,5.24,5.26,3885487
AMPBOI.AX,26 Feb 2018,6.04,6.04,6.04,6.04,0
AMPKOB.AX,26 Feb 2018,1.325,1.325,1.325,1.325,0
AMPKOE.AX,26 Feb 2018,1.575,1.575,1.575,1.575,0
AMPKOS.AX,26 Feb 2018,1.395,1.395,1.395,1.395,0
AMPKOT.AX,26 Feb 2018,1.915,1.915,1.915,1.915,0
AMPKOV.AX,26 Feb 2018,1.16,1.16,1.16,1.16,0
AMPLOA.AX,26 Feb 2018,0.205,0.205,0.205,0.205,0
AMPLOC.AX,26 Feb 2018,1.005,1.005,1.005,1.005,0
AMPLOR.AX,26 Feb 2018,0.85,0.85,0.85,0.85,0
AMPLOU.AX,26 Feb 2018,0.485,0.485,0.485,0.485,0
AMPLOV.AX,26 Feb 2018,0.735,0.735,0.735,0.735,0
AMPPA.AX,26 Feb 2018,107.7,107.7,107.43,107.442,668
AMT.AX,26 Feb 2018,0.145,0.145,0.14,0.14,97961
ANG.AX,26 Feb 2018,0.26,0.295,0.26,0.285,3344496
ANL.AX,26 Feb 2018,0.018,0.018,0.018,0.018,0
ANN.AX,26 Feb 2018,25.34,25.49,25.19,25.46,1081935
ANNKOB.AX,26 Feb 2018,3.38,3.38,3.38,3.38,0
ANNKOR.AX,26 Feb 2018,2.79,2.79,2.79,2.79,0
ANO.AX,26 Feb 2018,0.465,0.485,0.465,0.485,37615
ANP.AX,26 Feb 2018,0.043,0.045,0.041,0.045,519141
ANQ.AX,26 Feb 2018,0.003,0.003,0.003,0.003,0
ANR.AX,26 Feb 2018,1.7,1.7,1.66,1.66,12230
ANS.AX,26 Feb 2018,0.007,0.007,0.007,0.007,0
ANW.AX,26 Feb 2018,0.03,0.03,0.028,0.028,2612681
ANZ.AX,26 Feb 2018,28.6,28.87,28.58,28.84,4966456
ANZBOJ.AX,26 Feb 2018,33.61,33.61,33.61,33.61,0
ANZKOG.AX,26 Feb 2018,5.12,5.12,5.12,5.12,0
ANZKOH.AX,26 Feb 2018,3.61,3.72,3.61,3.72,5200
ANZKOM.AX,26 Feb 2018,7.56,7.56,7.56,7.56,0
ANZKON.AX,26 Feb 2018,10.13,10.13,10.13,10.13,0
ANZKOS.AX,26 Feb 2018,2.13,2.13,2.13,2.13,0
ANZKOV.AX,26 Feb 2018,5.96,5.96,5.96,5.96,0
ANZLOA.AX,26 Feb 2018,1.11,1.11,1.11,1.11,0
ANZLOC.AX,26 Feb 2018,2.62,2.62,2.62,2.62,0
ANZLOF.AX,26 Feb 2018,3.37,3.37,3.37,3.37,0
ANZLOP.AX,26 Feb 2018,1.675,1.675,1.675,1.675,0
ANZMOT.AX,26 Feb 2018,9.8,9.8,9.8,9.8,0
ANZPD.AX,26 Feb 2018,101.1,101.2,100.75,100.75,6276
ANZPE.AX,26 Feb 2018,101.95,102.43,101.95,102.25,7659
ANZPF.AX,26 Feb 2018,103.05,103.53,102.9,103.05,7527
ANZPG.AX,26 Feb 2018,106.82,107.1,106.8,107,13626
ANZPH.AX,26 Feb 2018,102.851,103,102.8,102.9,10386
AO1.AX,26 Feb 2018,0.093,0.093,0.093,0.093,0
AOA.AX,26 Feb 2018,0.007,0.007,0.007,0.007,0
AOF.AX,26 Feb 2018,2.27,2.3,2.22,2.23,101137
AON.AX,26 Feb 2018,0.21,0.21,0.21,0.21,0
AOP.AX,26 Feb 2018,0.2,0.2,0.2,0.2,10000
AOU.AX,26 Feb 2018,0.12,0.12,0.115,0.115,146271
AOW.AX,26 Feb 2018,0.033,0.035,0.032,0.033,842465
APA.AX,26 Feb 2018,8.18,8.2,7.77,7.89,6574466
APAKOR.AX,26 Feb 2018,3.43,3.43,3.43,3.43,0
APC.AX,26 Feb 2018,0.105,0.105,0.105,0.105,110000
APD.AX,26 Feb 2018,0.43,0.43,0.425,0.425,20395
APE.AX,26 Feb 2018,8.4,8.42,8.37,8.42,13764
APG.AX,26 Feb 2018,0.005,0.005,0.005,0.005,1270000
API.AX,26 Feb 2018,1.57,1.58,1.537,1.565,1915905
APL.AX,26 Feb 2018,1.26,1.27,1.26,1.265,451886
APT.AX,26 Feb 2018,7.23,7.4,7.08,7.12,850555
APW.AX,26 Feb 2018,1.63,1.63,1.63,1.63,0
APX.AX,26 Feb 2018,10.43,10.94,10.3,10.6,988707
APZ.AX,26 Feb 2018,0.985,1.005,0.975,1.005,141034
AQC.AX,26 Feb 2018,1.135,1.2,1.135,1.2,56899
AQD.AX,26 Feb 2018,0.018,0.018,0.018,0.018,0
AQG.AX,26 Feb 2018,2.19,2.24,2.18,2.19,152447
AQI.AX,26 Feb 2018,0.12,0.125,0.12,0.125,234086
AQS.AX,26 Feb 2018,0.04,0.04,0.04,0.04,0
AQX.AX,26 Feb 2018,0.043,0.043,0.043,0.043,36807
AQZ.AX,26 Feb 2018,1.73,1.73,1.695,1.73,78244
ARA.AX,26 Feb 2018,0.755,0.76,0.755,0.76,227498
ARB.AX,26 Feb 2018,20.14,20.2,19.7,19.7,284371
ARC.AX,26 Feb 2018,0.65,0.65,0.65,0.65,0
ARCO.AX,26 Feb 2018,0.16,0.16,0.16,0.16,0
ARD.AX,26 Feb 2018,0.025,0.025,0.025,0.025,36816
ARE.AX,26 Feb 2018,0.025,0.025,0.025,0.025,0
ARF.AX,26 Feb 2018,2.29,2.36,2.28,2.35,392557
ARG.AX,26 Feb 2018,8.12,8.15,8.07,8.08,113017
ARL.AX,26 Feb 2018,1.375,1.4,1.35,1.395,372396
ARM.AX,26 Feb 2018,0.038,0.038,0.038,0.038,0
ARO.AX,26 Feb 2018,0.003,0.003,0.003,0.003,320000
ARS.AX,26 Feb 2018,0.054,0.054,0.054,0.054,577
ARU.AX,26 Feb 2018,0.105,0.105,0.1,0.1,456219
ARV.AX,26 Feb 2018,0.205,0.205,0.195,0.2,3161462
AS1.AX,26 Feb 2018,0.18,0.2,0.18,0.185,1257164
ASB.AX,26 Feb 2018,1.78,1.785,1.735,1.77,80634
ASG.AX,26 Feb 2018,2.05,2.06,2.01,2.01,16140
ASH.AX,26 Feb 2018,0.21,0.21,0.2,0.2,274500
ASN.AX,26 Feb 2018,0.215,0.23,0.205,0.205,4698717
ASP.AX,26 Feb 2018,0.01,0.01,0.01,0.01,0
AST.AX,26 Feb 2018,1.68,1.685,1.65,1.685,3841109
ASTKOB.AX,26 Feb 2018,0.28,0.28,0.28,0.28,0
ASW.AX,26 Feb 2018,0.735,0.735,0.735,0.735,1000
ASX.AX,26 Feb 2018,58.5,58.7,58.115,58.42,556759
ASXKOA.AX,26 Feb 2018,5.61,5.61,5.61,5.61,0
ASXKOB.AX,26 Feb 2018,9.6,9.6,9.6,9.6,0
ASXKOR.AX,26 Feb 2018,8.62,8.62,8.62,8.62,0
ATA.AX,26 Feb 2018,0.025,0.025,0.025,0.025,0
ATC.AX,26 Feb 2018,0.16,0.165,0.16,0.165,858796
ATL.AX,26 Feb 2018,1.95,2.1,1.815,1.815,588471
ATM.AX,26 Feb 2018,0.7,0.7,0.7,0.7,0
ATP.AX,26 Feb 2018,0.031,0.031,0.025,0.025,1453207
ATR.AX,26 Feb 2018,0.205,0.205,0.205,0.205,0
ATS.AX,26 Feb 2018,0.35,0.35,0.35,0.35,173601
ATU.AX,26 Feb 2018,0.13,0.13,0.12,0.125,198888
AU1.AX,26 Feb 2018,0.019,0.019,0.018,0.019,1486842
AU8.AX,26 Feb 2018,0.38,0.38,0.3,0.31,5887243
AUB.AX,26 Feb 2018,12.51,13,12.29,12.5,34058
AUC.AX,26 Feb 2018,0.054,0.055,0.052,0.054,173766
AUH.AX,26 Feb 2018,0.006,0.006,0.006,0.006,0
AUI.AX,26 Feb 2018,8.6,8.61,8.55,8.55,47144
AUL.AX,26 Feb 2018,0.008,0.009,0.007,0.007,8329390
AUMF.AX,26 Feb 2018,27.88,27.88,27.88,27.88,0
AUP.AX,26 Feb 2018,4.15,4.15,4.15,4.15,0
AUQ.AX,26 Feb 2018,0.028,0.028,0.025,0.025,1426888
