Symbol,Date,Open,High,Low,Close,Volume
1AD.AX,05 Jan 2018,0.25,0.25,0.25,0.25,0
1AG.AX,05 Jan 2018,0.029,0.032,0.029,0.032,109444
1AL.AX,05 Jan 2018,0.945,0.945,0.945,0.945,0
1ST.AX,05 Jan 2018,0.056,0.059,0.056,0.059,250701
3DP.AX,05 Jan 2018,0.155,0.155,0.145,0.145,1097063
3PL.AX,05 Jan 2018,1.52,1.55,1.51,1.55,35814
4CE.AX,05 Jan 2018,0.094,0.1,0.091,0.099,9677749
4DS.AX,05 Jan 2018,0.054,0.054,0.053,0.054,2106256
5GN.AX,05 Jan 2018,0.55,0.62,0.55,0.62,685309
88E.AX,05 Jan 2018,0.026,0.029,0.026,0.029,20693074
8CO.AX,05 Jan 2018,0.036,0.036,0.036,0.036,148780
8EC.AX,05 Jan 2018,0.985,0.985,0.985,0.985,18054
8IH.AX,05 Jan 2018,0.28,0.3,0.28,0.3,35000
9SP.AX,05 Jan 2018,0.076,0.077,0.074,0.074,562295
A2M.AX,05 Jan 2018,7.48,7.57,7.44,7.55,2385891
A2MKOA.AX,05 Jan 2018,4.3,4.3,4.3,4.3,0
A2MKOC.AX,05 Jan 2018,4.95,4.95,4.95,4.95,0
A2MKOG.AX,05 Jan 2018,2.15,2.15,2.15,2.15,0
A2MKOH.AX,05 Jan 2018,2.3,2.3,2.3,2.3,0
A2MKOR.AX,05 Jan 2018,2.79,2.79,2.79,2.79,0
A3D.AX,05 Jan 2018,1.15,1.18,1.08,1.175,158157
AAA.AX,05 Jan 2018,50.09,50.1,50.09,50.1,68864
AAC.AX,05 Jan 2018,1.305,1.32,1.3,1.3,758373
AACKOB.AX,05 Jan 2018,0.67,0.67,0.67,0.67,0
AAJ.AX,05 Jan 2018,0.031,0.037,0.031,0.037,6031399
AAP.AX,05 Jan 2018,0.031,0.031,0.031,0.031,0
AAR.AX,05 Jan 2018,0.098,0.098,0.093,0.096,282869
AAU.AX,05 Jan 2018,0.01,0.01,0.01,0.01,3300
AB1.AX,05 Jan 2018,0.029,0.03,0.027,0.029,1175343
ABA.AX,05 Jan 2018,5.26,5.28,5.23,5.27,10880
ABC.AX,05 Jan 2018,6.43,6.555,6.43,6.55,795561
ABCKOQ.AX,05 Jan 2018,1.125,1.125,1.125,1.125,0
ABL.AX,05 Jan 2018,0.009,0.01,0.009,0.01,264004
ABP.AX,05 Jan 2018,4.04,4.065,4.025,4.05,760147
ABR.AX,05 Jan 2018,0.375,0.385,0.37,0.385,205499
ABT.AX,05 Jan 2018,0.48,0.48,0.47,0.48,48633
ABV.AX,05 Jan 2018,0.006,0.006,0.006,0.006,0
ABW.AX,05 Jan 2018,0.5,0.5,0.5,0.5,0
ABX.AX,05 Jan 2018,0.115,0.12,0.115,0.115,85664
AC8.AX,05 Jan 2018,1.5,1.85,1.41,1.59,15324944
ACB.AX,05 Jan 2018,0.049,0.052,0.049,0.052,173901
ACP.AX,05 Jan 2018,0.01,0.01,0.01,0.01,0
ACQ.AX,05 Jan 2018,1.145,1.145,1.145,1.145,700
ACR.AX,05 Jan 2018,0.15,0.15,0.15,0.15,15946
ACS.AX,05 Jan 2018,0.006,0.006,0.006,0.006,0
ACW.AX,05 Jan 2018,0.044,0.044,0.04,0.04,2056332
AD1.AX,05 Jan 2018,0.087,0.088,0.087,0.088,207241
AD8.AX,05 Jan 2018,2.52,2.52,2.52,2.52,1510
ADA.AX,05 Jan 2018,2.53,2.54,2.48,2.51,200996
ADD.AX,05 Jan 2018,0.018,0.018,0.018,0.018,0
ADH.AX,05 Jan 2018,1.89,1.945,1.89,1.94,228943
ADJ.AX,05 Jan 2018,0.038,0.04,0.038,0.038,849179
ADN.AX,05 Jan 2018,0.007,0.007,0.006,0.006,150000
ADNOB.AX,05 Jan 2018,0.003,0.003,0.003,0.003,500000
ADO.AX,05 Jan 2018,0.019,0.019,0.018,0.019,961583
ADR.AX,05 Jan 2018,0.095,0.095,0.092,0.092,31500
ADV.AX,05 Jan 2018,0.019,0.02,0.019,0.019,26676638
ADX.AX,05 Jan 2018,0.017,0.018,0.017,0.017,3857132
ADY.AX,05 Jan 2018,0.007,0.007,0.007,0.007,20000
AEB.AX,05 Jan 2018,0.057,0.07,0.054,0.058,114790251
AEBO.AX,05 Jan 2018,0.021,0.027,0.018,0.02,7972423
AEE.AX,05 Jan 2018,0.023,0.023,0.022,0.023,681130
AEF.AX,05 Jan 2018,142,143.01,142,143,462
AEG.AX,05 Jan 2018,1.055,1.065,1.055,1.065,56072
AEI.AX,05 Jan 2018,0.265,0.265,0.265,0.265,0
AER.AX,05 Jan 2018,0.04,0.04,0.04,0.04,0
AEV.AX,05 Jan 2018,0.05,0.05,0.05,0.05,0
AFA.AX,05 Jan 2018,0.16,0.16,0.16,0.16,5625
AFG.AX,05 Jan 2018,1.635,1.65,1.63,1.635,83348
AFI.AX,05 Jan 2018,6.31,6.34,6.3,6.34,150308
