Symbol,Date,Open,High,Low,Close,Volume
1AD.AX,12 Jul 2018,0.35,0.35,0.35,0.35,0
1AG.AX,12 Jul 2018,0.042,0.043,0.042,0.042,391547
1AL.AX,12 Jul 2018,0.935,0.935,0.935,0.935,169
1ST.AX,12 Jul 2018,0.038,0.038,0.038,0.038,25006
3DP.AX,12 Jul 2018,0.043,0.043,0.037,0.039,4144817
3PL.AX,12 Jul 2018,1.195,1.2,1.145,1.175,132503
4CE.AX,12 Jul 2018,0.05,0.05,0.049,0.049,771799
4DS.AX,12 Jul 2018,0.039,0.04,0.039,0.04,1553806
5GN.AX,12 Jul 2018,0.485,0.485,0.475,0.475,12195
88E.AX,12 Jul 2018,0.022,0.022,0.022,0.022,2533730
8CO.AX,12 Jul 2018,0.05,0.05,0.05,0.05,0
8COO.AX,12 Jul 2018,0.015,0.015,0.015,0.015,0
8EC.AX,12 Jul 2018,0.905,0.925,0.895,0.895,34526
8IH.AX,12 Jul 2018,0.125,0.125,0.125,0.125,1030
9SP.AX,12 Jul 2018,0.027,0.03,0.027,0.03,4641190
A200.AX,12 Jul 2018,103.58,104.15,103.58,104.15,2669
A2M.AX,12 Jul 2018,10.6,10.83,10.38,10.5,5386751
A2MKOC.AX,12 Jul 2018,7.45,7.45,7.45,7.45,0
A2MKOG.AX,12 Jul 2018,5.55,5.55,5.55,5.55,0
A2MKOH.AX,12 Jul 2018,4,4,4,4,4000
A2MKOR.AX,12 Jul 2018,4.49,4.76,4.37,4.73,48000
A3D.AX,12 Jul 2018,0.51,0.51,0.49,0.49,39927
A3DO.AX,12 Jul 2018,0.2,0.2,0.2,0.2,0
AAA.AX,12 Jul 2018,50.11,50.11,50.1,50.1,95335
AAC.AX,12 Jul 2018,1.335,1.37,1.32,1.335,1198478
AACKOB.AX,12 Jul 2018,0.67,0.67,0.67,0.67,0
AAJ.AX,12 Jul 2018,0.012,0.012,0.012,0.012,477538
AAP.AX,12 Jul 2018,0.029,0.029,0.029,0.029,30370
AAR.AX,12 Jul 2018,0.092,0.092,0.088,0.089,597052
AAU.AX,12 Jul 2018,0.008,0.008,0.008,0.008,0
AB1.AX,12 Jul 2018,0.057,0.064,0.057,0.06,3351681
ABA.AX,12 Jul 2018,5.62,5.62,5.6,5.61,16616
ABC.AX,12 Jul 2018,6.86,7,6.83,6.97,1265333
ABCKOA.AX,12 Jul 2018,1.425,1.425,1.425,1.425,0
ABCKOQ.AX,12 Jul 2018,1.975,1.975,1.975,1.975,0
ABL.AX,12 Jul 2018,0.005,0.005,0.005,0.005,0
ABP.AX,12 Jul 2018,3.82,3.855,3.78,3.83,1122873
ABR.AX,12 Jul 2018,0.24,0.24,0.24,0.24,2720
ABT.AX,12 Jul 2018,0.3,0.3,0.3,0.3,0
ABV.AX,12 Jul 2018,0.003,0.003,0.003,0.003,0
ABW.AX,12 Jul 2018,0.44,0.44,0.44,0.44,0
ABX.AX,12 Jul 2018,0.1,0.1,0.1,0.1,94662
AC8.AX,12 Jul 2018,1.115,1.12,1.08,1.085,978400
ACB.AX,12 Jul 2018,0.054,0.054,0.054,0.054,10000
ACF.AX,12 Jul 2018,0.31,0.32,0.31,0.32,221167
ACP.AX,12 Jul 2018,0.009,0.009,0.009,0.009,0
ACQ.AX,12 Jul 2018,1.18,1.18,1.18,1.18,67300
ACR.AX,12 Jul 2018,0.15,0.155,0.15,0.155,57166
ACS.AX,12 Jul 2018,0.01,0.01,0.01,0.01,0
ACW.AX,12 Jul 2018,0.05,0.052,0.05,0.052,110465
AD1.AX,12 Jul 2018,0.035,0.036,0.035,0.036,150000
AD8.AX,12 Jul 2018,4.2,4.21,4.17,4.19,26428
ADA.AX,12 Jul 2018,1.84,1.85,1.83,1.84,27174
ADD.AX,12 Jul 2018,0.012,0.012,0.012,0.012,0
ADH.AX,12 Jul 2018,2.05,2.16,2.05,2.12,147358
ADJ.AX,12 Jul 2018,0.033,0.033,0.032,0.032,263120
ADN.AX,12 Jul 2018,0.007,0.007,0.007,0.007,3907643
ADNOB.AX,12 Jul 2018,0.003,0.003,0.003,0.003,400000
ADO.AX,12 Jul 2018,0.016,0.016,0.016,0.016,0
ADR.AX,12 Jul 2018,0.11,0.11,0.11,0.11,53481
ADT.AX,12 Jul 2018,0.535,0.555,0.505,0.505,2343392
ADV.AX,12 Jul 2018,0.012,0.013,0.012,0.013,3407636
ADX.AX,12 Jul 2018,0.011,0.011,0.011,0.011,0
ADY.AX,12 Jul 2018,0.016,0.016,0.016,0.016,0
AEB.AX,12 Jul 2018,0.022,0.022,0.021,0.021,1178771
AEBO.AX,12 Jul 2018,0.004,0.004,0.004,0.004,10888
AEE.AX,12 Jul 2018,0.022,0.022,0.021,0.022,437275
AEF.AX,12 Jul 2018,136,139.89,136,139,445
AEG.AX,12 Jul 2018,1.14,1.15,1.135,1.15,102649
AEI.AX,12 Jul 2018,0.165,0.165,0.165,0.165,251509
AER.AX,12 Jul 2018,0.04,0.04,0.04,0.04,0
AEV.AX,12 Jul 2018,0.03,0.03,0.03,0.03,91000
AFA.AX,12 Jul 2018,0.15,0.15,0.15,0.15,0
AFG.AX,12 Jul 2018,1.39,1.44,1.39,1.4,132557
AFI.AX,12 Jul 2018,6.27,6.29,6.23,6.23,208512
AFP.AX,12 Jul 2018,2,2,2,2,0
AFR.AX,12 Jul 2018,0.022,0.022,0.022,0.022,109550
AFT.AX,12 Jul 2018,0.001,0.001,0.001,0.001,0
AGD.AX,12 Jul 2018,0.099,0.099,0.099,0.099,0
AGE.AX,12 Jul 2018,0.009,0.009,0.009,0.009,30000
AGEO.AX,12 Jul 2018,0.003,0.003,0.003,0.003,1500000
AGG.AX,12 Jul 2018,2.33,2.33,2.32,2.32,400
AGI.AX,12 Jul 2018,1.08,1.095,1.065,1.075,129975
AGJ.AX,12 Jul 2018,0.05,0.05,0.05,0.05,0
AGL.AX,12 Jul 2018,21.27,21.74,21.18,21.7,3077184
AGLKOB.AX,12 Jul 2018,1.13,1.13,1.13,1.13,0
AGLKOC.AX,12 Jul 2018,5.07,5.07,5.07,5.07,0
AGLKOD.AX,12 Jul 2018,3.03,3.11,3.01,3.11,22500
AGR.AX,12 Jul 2018,0.18,0.195,0.18,0.195,61163
AGS.AX,12 Jul 2018,0.092,0.092,0.092,0.092,0
AGY.AX,12 Jul 2018,0.195,0.2,0.19,0.195,2290229
AHF.AX,12 Jul 2018,0.17,0.17,0.165,0.165,169033
AHK.AX,12 Jul 2018,0.067,0.067,0.067,0.067,0
AHL.AX,12 Jul 2018,0.019,0.021,0.019,0.021,805287
AHN.AX,12 Jul 2018,0.035,0.035,0.035,0.035,0
AHQ.AX,12 Jul 2018,0.061,0.064,0.059,0.064,849265
AHX.AX,12 Jul 2018,0.67,0.67,0.665,0.665,36160
AHY.AX,12 Jul 2018,1.32,1.33,1.285,1.295,3788366
AHZ.AX,12 Jul 2018,0.26,0.26,0.25,0.255,151647
AIA.AX,12 Jul 2018,6.25,6.27,6.18,6.18,76012
AIB.AX,12 Jul 2018,0.28,0.28,0.28,0.28,0
AIQ.AX,12 Jul 2018,0.085,0.085,0.085,0.085,0
AIR.AX,12 Jul 2018,0.066,0.066,0.066,0.066,0
AIS.AX,12 Jul 2018,0.145,0.145,0.145,0.145,233516
AIV.AX,12 Jul 2018,0.13,0.13,0.13,0.13,0
AIY.AX,12 Jul 2018,0.03,0.03,0.03,0.03,0
AIZ.AX,12 Jul 2018,2.92,2.92,2.9,2.91,22679
AJC.AX,12 Jul 2018,0.001,0.001,0.001,0.001,0
AJJ.AX,12 Jul 2018,0.105,0.105,0.105,0.105,0
AJL.AX,12 Jul 2018,0.37,0.4,0.37,0.385,161665
AJM.AX,12 Jul 2018,0.34,0.35,0.33,0.345,1485209
AJQ.AX,12 Jul 2018,0.089,0.094,0.088,0.094,836860
AJX.AX,12 Jul 2018,0.125,0.13,0.125,0.13,257277
AJY.AX,12 Jul 2018,0.1,0.1,0.1,0.1,0
AKG.AX,12 Jul 2018,0.375,0.375,0.37,0.37,3825
AKM.AX,12 Jul 2018,0.019,0.02,0.019,0.019,5265806
AKN.AX,12 Jul 2018,0.002,0.002,0.002,0.002,65625
AKP.AX,12 Jul 2018,15.3,15.95,15.3,15.95,700
AL8.AX,12 Jul 2018,0.675,0.675,0.67,0.675,21000
ALC.AX,12 Jul 2018,0.055,0.055,0.055,0.055,21000
ALF.AX,12 Jul 2018,1.03,1.035,1.03,1.03,165000
ALI.AX,12 Jul 2018,1.83,1.855,1.83,1.845,99959
ALK.AX,12 Jul 2018,0.21,0.21,0.2,0.2,701501
ALL.AX,12 Jul 2018,31.15,31.41,31.095,31.26,1573785
ALLKOC.AX,12 Jul 2018,10.85,10.95,10.85,10.95,4000
ALLKOD.AX,12 Jul 2018,5.55,5.55,5.55,5.55,0
ALLKOG.AX,12 Jul 2018,13.97,13.97,13.97,13.97,0
ALQ.AX,12 Jul 2018,7.44,7.55,7.41,7.48,1841948
ALQKOB.AX,12 Jul 2018,1.41,1.41,1.41,1.41,0
ALQKOE.AX,12 Jul 2018,1.295,1.295,1.295,1.295,0
ALQKOR.AX,12 Jul 2018,2.51,2.51,2.51,2.51,0
ALQKOU.AX,12 Jul 2018,3.23,3.23,3.23,3.23,0
ALT.AX,12 Jul 2018,0.005,0.005,0.005,0.005,0
ALU.AX,12 Jul 2018,20.99,21.52,20.83,21.04,792010
ALUKOA.AX,12 Jul 2018,9.02,9.02,9.02,9.02,0
ALUKOB.AX,12 Jul 2018,7.37,7.37,7.37,7.37,0
ALX.AX,12 Jul 2018,6.45,6.56,6.4,6.49,5570228
ALY.AX,12 Jul 2018,0.015,0.015,0.015,0.015,349900
AMA.AX,12 Jul 2018,1.005,1.01,0.98,0.995,370584
AMB.AX,12 Jul 2018,0.125,0.125,0.125,0.125,0
AMC.AX,12 Jul 2018,14.11,14.33,14.09,14.25,3116285
AMCKOQ.AX,12 Jul 2018,2.07,2.07,2.07,2.07,0
AMCKOS.AX,12 Jul 2018,2.54,2.54,2.54,2.54,0
AMD.AX,12 Jul 2018,0.022,0.025,0.022,0.025,474397
AMDOA.AX,12 Jul 2018,0.003,0.003,0.003,0.003,666000
AME.AX,12 Jul 2018,0.062,0.062,0.06,0.061,431067
AMG.AX,12 Jul 2018,0.038,0.038,0.038,0.038,275000
AMH.AX,12 Jul 2018,0.95,0.955,0.945,0.945,131412
AMI.AX,12 Jul 2018,0.555,0.562,0.527,0.535,4083054
AML.AX,12 Jul 2018,0.365,0.365,0.35,0.365,237329
AMN.AX,12 Jul 2018,0.92,0.92,0.9,0.9,36311
AMO.AX,12 Jul 2018,0.16,0.16,0.16,0.16,0
AMP.AX,12 Jul 2018,3.58,3.63,3.56,3.62,7196837
