Symbol,Date,Open,High,Low,Close,Volume
1AD.AX,28 May 2018,0.32,0.32,0.32,0.32,0
1AG.AX,28 May 2018,0.049,0.054,0.049,0.049,287110
1AL.AX,28 May 2018,0.95,0.95,0.95,0.95,0
1ST.AX,28 May 2018,0.04,0.04,0.04,0.04,370000
3DP.AX,28 May 2018,0.053,0.053,0.051,0.051,142820
3PL.AX,28 May 2018,1.445,1.49,1.445,1.49,7307
4CE.AX,28 May 2018,0.056,0.059,0.056,0.058,1083346
4DS.AX,28 May 2018,0.055,0.055,0.052,0.053,3485766
5GN.AX,28 May 2018,0.58,0.6,0.58,0.595,67656
88E.AX,28 May 2018,0.041,0.041,0.04,0.04,7972410
8CO.AX,28 May 2018,0.048,0.048,0.048,0.048,0
8EC.AX,28 May 2018,0.925,0.94,0.92,0.94,65000
8IH.AX,28 May 2018,0.125,0.125,0.125,0.125,0
9SP.AX,28 May 2018,0.047,0.047,0.045,0.047,155000
A200.AX,28 May 2018,99.91,99.91,99.51,99.6,727
A2M.AX,28 May 2018,9.98,10.05,9.77,9.89,3557289
A2MKOC.AX,28 May 2018,7.13,7.13,7.13,7.13,0
A2MKOG.AX,28 May 2018,4.75,4.75,4.75,4.75,0
A2MKOH.AX,28 May 2018,3.52,3.52,3.52,3.52,0
A2MKOR.AX,28 May 2018,5.43,5.44,5.31,5.33,47000
A3D.AX,28 May 2018,0.485,0.485,0.455,0.46,146328
A3DO.AX,28 May 2018,0.092,0.092,0.092,0.092,2513
AAA.AX,28 May 2018,50.14,50.15,50.14,50.15,51306
AAC.AX,28 May 2018,1.19,1.235,1.175,1.22,1952402
AACKOB.AX,28 May 2018,0.67,0.67,0.67,0.67,0
AAJ.AX,28 May 2018,0.02,0.02,0.02,0.02,325217
AAP.AX,28 May 2018,0.03,0.03,0.03,0.03,0
AAR.AX,28 May 2018,0.09,0.09,0.09,0.09,0
AAU.AX,28 May 2018,0.01,0.01,0.01,0.01,103594
AB1.AX,28 May 2018,0.04,0.042,0.039,0.04,1768512
ABA.AX,28 May 2018,5.51,5.59,5.49,5.55,23770
ABC.AX,28 May 2018,6.55,6.58,6.52,6.57,423918
ABCKOQ.AX,28 May 2018,1.975,1.975,1.975,1.975,1200
ABL.AX,28 May 2018,0.007,0.007,0.007,0.007,135349
ABP.AX,28 May 2018,3.84,3.86,3.78,3.83,712849
ABR.AX,28 May 2018,0.3,0.31,0.28,0.28,157040
ABT.AX,28 May 2018,0.34,0.34,0.34,0.34,57822
ABV.AX,28 May 2018,0.004,0.004,0.004,0.004,0
ABW.AX,28 May 2018,0.47,0.47,0.47,0.47,0
ABX.AX,28 May 2018,0.099,0.1,0.099,0.1,292281
AC8.AX,28 May 2018,1.5,1.5,1.455,1.46,164187
ACB.AX,28 May 2018,0.062,0.062,0.062,0.062,0
ACF.AX,28 May 2018,0.275,0.275,0.275,0.275,63890
ACP.AX,28 May 2018,0.021,0.021,0.021,0.021,0
ACQ.AX,28 May 2018,1.13,1.13,1.12,1.12,16000
ACR.AX,28 May 2018,0.16,0.165,0.16,0.165,100026
ACS.AX,28 May 2018,0.012,0.012,0.012,0.012,0
ACW.AX,28 May 2018,0.047,0.047,0.046,0.047,822349
AD1.AX,28 May 2018,0.05,0.05,0.05,0.05,200000
AD8.AX,28 May 2018,3.49,3.51,3.48,3.5,88262
ADA.AX,28 May 2018,1.7,1.71,1.68,1.695,241362
ADD.AX,28 May 2018,0.012,0.012,0.012,0.012,0
ADH.AX,28 May 2018,2.36,2.36,2.25,2.25,459366
ADJ.AX,28 May 2018,0.025,0.025,0.025,0.025,19425
ADN.AX,28 May 2018,0.007,0.007,0.007,0.007,996429
ADNOB.AX,28 May 2018,0.003,0.003,0.003,0.003,0
ADO.AX,28 May 2018,0.012,0.012,0.012,0.012,137000
ADR.AX,28 May 2018,0.14,0.14,0.14,0.14,95000
ADT.AX,28 May 2018,0.185,0.19,0.185,0.19,162600
ADV.AX,28 May 2018,0.015,0.017,0.015,0.016,5390117
ADX.AX,28 May 2018,0.011,0.011,0.01,0.01,676895
ADY.AX,28 May 2018,0.016,0.016,0.016,0.016,0
AEB.AX,28 May 2018,0.026,0.026,0.026,0.026,442149
AEBO.AX,28 May 2018,0.005,0.005,0.005,0.005,0
AEE.AX,28 May 2018,0.021,0.022,0.021,0.021,1725766
AEF.AX,28 May 2018,138,138,138,138,153
AEG.AX,28 May 2018,1.085,1.09,1.08,1.09,250533
AEI.AX,28 May 2018,0.18,0.18,0.18,0.18,0
AER.AX,28 May 2018,0.056,0.056,0.056,0.056,0
AEV.AX,28 May 2018,0.019,0.019,0.018,0.018,8102
AFA.AX,28 May 2018,0.15,0.15,0.15,0.15,1417
AFG.AX,28 May 2018,1.372,1.375,1.35,1.365,133870
AFI.AX,28 May 2018,6.03,6.03,6,6.01,335113
AFP.AX,28 May 2018,2,2,2,2,0
AFR.AX,28 May 2018,0.022,0.023,0.022,0.023,75000
AFT.AX,28 May 2018,0.001,0.001,0.001,0.001,3000000
AGD.AX,28 May 2018,0.115,0.115,0.115,0.115,0
AGE.AX,28 May 2018,0.008,0.008,0.008,0.008,0
AGEO.AX,28 May 2018,0.003,0.003,0.003,0.003,0
AGG.AX,28 May 2018,2.21,2.23,2.19,2.2,11440
AGI.AX,28 May 2018,1.25,1.257,1.24,1.25,54672
AGJ.AX,28 May 2018,0.044,0.044,0.044,0.044,0
AGL.AX,28 May 2018,21.84,21.98,21.78,21.91,1212537
AGLKOB.AX,28 May 2018,1.13,1.13,1.13,1.13,0
AGLKOF.AX,28 May 2018,2.35,2.35,2.35,2.35,0
AGLKOQ.AX,28 May 2018,3.8,3.8,3.8,3.8,0
AGR.AX,28 May 2018,0.175,0.175,0.175,0.175,28224
AGS.AX,28 May 2018,0.097,0.097,0.093,0.093,292365
AGY.AX,28 May 2018,0.3,0.305,0.3,0.3,3261131
AHF.AX,28 May 2018,0.165,0.175,0.165,0.17,407814
AHK.AX,28 May 2018,0.07,0.07,0.07,0.07,0
AHL.AX,28 May 2018,0.019,0.02,0.018,0.019,69638
AHN.AX,28 May 2018,0.033,0.033,0.033,0.033,78339
AHQ.AX,28 May 2018,0.05,0.05,0.05,0.05,0
AHX.AX,28 May 2018,0.74,0.74,0.74,0.74,2000
AHY.AX,28 May 2018,1.4,1.425,1.385,1.39,481242
AHZ.AX,28 May 2018,0.295,0.3,0.295,0.295,1159996
AIA.AX,28 May 2018,5.98,6.03,5.97,6,73422
AIB.AX,28 May 2018,0.32,0.32,0.32,0.32,40252
AIQ.AX,28 May 2018,0.084,0.084,0.084,0.084,0
AIR.AX,28 May 2018,0.065,0.065,0.065,0.065,0
AIS.AX,28 May 2018,0.14,0.145,0.135,0.135,83863
AIV.AX,28 May 2018,0.15,0.15,0.15,0.15,0
AIY.AX,28 May 2018,0.08,0.08,0.08,0.08,37099
