Symbol,Date,Open,High,Low,Close,Volume
14D.AX,26 Oct 2018,0.285,0.295,0.28,0.29,227187
14DO.AX,26 Oct 2018,0.095,0.095,0.095,0.095,1500
1AD.AX,26 Oct 2018,0.28,0.28,0.28,0.28,10000
1AG.AX,26 Oct 2018,0.046,0.046,0.04,0.04,762100
1AL.AX,26 Oct 2018,0.975,0.975,0.975,0.975,0
1ST.AX,26 Oct 2018,0.033,0.033,0.033,0.033,0
3DP.AX,26 Oct 2018,0.03,0.03,0.03,0.03,37349
3PL.AX,26 Oct 2018,1.145,1.185,1.14,1.175,23575
4CE.AX,26 Oct 2018,0.025,0.026,0.023,0.024,1005108
4DS.AX,26 Oct 2018,0.053,0.055,0.053,0.053,1974388
5GN.AX,26 Oct 2018,0.425,0.425,0.425,0.425,0
88E.AX,26 Oct 2018,0.019,0.019,0.018,0.018,1858394
8CO.AX,26 Oct 2018,0.033,0.033,0.033,0.033,66482
8COO.AX,26 Oct 2018,0.02,0.02,0.02,0.02,0
8EC.AX,26 Oct 2018,0.81,0.81,0.81,0.81,6172
8IH.AX,26 Oct 2018,0.11,0.11,0.11,0.11,0
8VI.AX,26 Oct 2018,0.66,0.66,0.66,0.66,0
9SP.AX,26 Oct 2018,0.018,0.018,0.018,0.018,34000
A200.AX,26 Oct 2018,94.76,94.86,93.82,94,24142
A2M.AX,26 Oct 2018,9.2,9.41,8.98,9.05,4552091
A2MKOC.AX,26 Oct 2018,7.09,7.09,7.09,7.09,0
A2MKOG.AX,26 Oct 2018,3.33,3.33,3.33,3.33,0
A2MKOH.AX,26 Oct 2018,2.7,2.75,2.4,2.4,36000
A2MKOT.AX,26 Oct 2018,3.94,3.94,3.94,3.94,0
A2MKOU.AX,26 Oct 2018,4.01,4.01,4.01,4.01,436
A3D.AX,26 Oct 2018,0.76,0.78,0.67,0.72,419783
A3DO.AX,26 Oct 2018,0.25,0.25,0.25,0.25,10000
AAA.AX,26 Oct 2018,50.15,50.15,50.14,50.14,43362
AAC.AX,26 Oct 2018,1.23,1.255,1.215,1.235,724998
AACKOB.AX,26 Oct 2018,0.67,0.67,0.67,0.67,0
AAJ.AX,26 Oct 2018,0.007,0.007,0.006,0.006,1960482
AAP.AX,26 Oct 2018,0.02,0.02,0.02,0.02,0
AAR.AX,26 Oct 2018,0.076,0.078,0.075,0.078,103167
AAU.AX,26 Oct 2018,0.01,0.01,0.01,0.01,0
AB1.AX,26 Oct 2018,0.072,0.077,0.069,0.075,2576500
ABA.AX,26 Oct 2018,5.52,5.53,5.28,5.3,19124
ABC.AX,26 Oct 2018,5.51,5.55,5.47,5.53,1401617
ABCKOQ.AX,26 Oct 2018,1.975,1.975,1.975,1.975,0
ABL.AX,26 Oct 2018,0.005,0.005,0.005,0.005,0
ABP.AX,26 Oct 2018,3.32,3.37,3.285,3.31,801629
ABR.AX,26 Oct 2018,0.14,0.14,0.14,0.14,0
ABT.AX,26 Oct 2018,0.22,0.22,0.22,0.22,0
ABV.AX,26 Oct 2018,0.003,0.003,0.003,0.003,651500
ABW.AX,26 Oct 2018,0.29,0.29,0.29,0.29,0
ABX.AX,26 Oct 2018,0.115,0.115,0.115,0.115,0
AC8.AX,26 Oct 2018,0.725,0.75,0.67,0.68,1155576
ACB.AX,26 Oct 2018,0.043,0.043,0.043,0.043,20000
ACDC.AX,26 Oct 2018,47.1,47.11,46.75,46.86,864
ACF.AX,26 Oct 2018,0.505,0.51,0.495,0.495,1005913
ACP.AX,26 Oct 2018,0.009,0.009,0.009,0.009,0
ACQ.AX,26 Oct 2018,1.185,1.195,1.18,1.185,71478
ACR.AX,26 Oct 2018,0.23,0.23,0.23,0.23,21699
ACS.AX,26 Oct 2018,0.008,0.008,0.008,0.008,0
ACW.AX,26 Oct 2018,0.047,0.047,0.046,0.047,1590218
AD1.AX,26 Oct 2018,0.022,0.022,0.022,0.022,0
AD8.AX,26 Oct 2018,3.5,3.65,3.5,3.51,139910
ADA.AX,26 Oct 2018,1.53,1.54,1.5,1.53,74266
ADD.AX,26 Oct 2018,0.01,0.01,0.01,0.01,0
ADH.AX,26 Oct 2018,1.91,2,1.88,1.915,911025
ADJ.AX,26 Oct 2018,0.042,0.043,0.042,0.043,267873
ADN.AX,26 Oct 2018,0.007,0.007,0.006,0.006,3692017
ADNOB.AX,26 Oct 2018,0.004,0.004,0.004,0.004,4737022
ADO.AX,26 Oct 2018,0.016,0.016,0.015,0.016,1078470
ADR.AX,26 Oct 2018,0.076,0.076,0.076,0.076,13145
ADT.AX,26 Oct 2018,0.5,0.55,0.48,0.5,786058
ADV.AX,26 Oct 2018,0.007,0.007,0.007,0.007,100000
ADX.AX,26 Oct 2018,0.011,0.011,0.011,0.011,1805932
ADY.AX,26 Oct 2018,0.014,0.014,0.014,0.014,0
AEB.AX,26 Oct 2018,0.015,0.015,0.014,0.014,1211762
AEBO.AX,26 Oct 2018,0.004,0.004,0.004,0.004,0
AEE.AX,26 Oct 2018,0.019,0.019,0.018,0.018,1897360
AEF.AX,26 Oct 2018,155.6,156,155.6,155.6,72
AEG.AX,26 Oct 2018,1.14,1.15,1.14,1.14,85008
AEI.AX,26 Oct 2018,0.17,0.17,0.17,0.17,0
AER.AX,26 Oct 2018,0.065,0.065,0.065,0.065,0
AEV.AX,26 Oct 2018,0.02,0.02,0.02,0.02,0
AFA.AX,26 Oct 2018,0.155,0.155,0.155,0.155,0
AFG.AX,26 Oct 2018,1.42,1.45,1.42,1.45,48142
AFI.AX,26 Oct 2018,6.03,6.06,5.97,5.97,383089
AFP.AX,26 Oct 2018,2.05,2.05,2.05,2.05,0
AFR.AX,26 Oct 2018,0.016,0.016,0.016,0.016,0
AFT.AX,26 Oct 2018,0.001,0.001,0.001,0.001,0
AGD.AX,26 Oct 2018,0.085,0.085,0.085,0.085,0
AGE.AX,26 Oct 2018,0.003,0.003,0.003,0.003,0
AGEO.AX,26 Oct 2018,0.001,0.001,0.001,0.001,0
AGG.AX,26 Oct 2018,2.77,2.79,2.66,2.79,19656
AGH.AX,26 Oct 2018,0.38,0.39,0.345,0.37,588072
AGI.AX,26 Oct 2018,1.055,1.07,1,1.01,163456
AGJ.AX,26 Oct 2018,0.042,0.042,0.042,0.042,0
AGL.AX,26 Oct 2018,17.82,17.87,17.45,17.58,3225316
AGLKOB.AX,26 Oct 2018,1.13,1.13,1.13,1.13,0
AGLKOR.AX,26 Oct 2018,5.41,5.41,5.4,5.4,10000
AGM.AX,26 Oct 2018,1.7,1.7,1.7,1.7,0
AGR.AX,26 Oct 2018,0.17,0.17,0.155,0.155,129643
AGS.AX,26 Oct 2018,0.14,0.14,0.14,0.14,0
AGY.AX,26 Oct 2018,0.195,0.2,0.19,0.195,885725
AHF.AX,26 Oct 2018,0.13,0.135,0.125,0.125,140581
AHK.AX,26 Oct 2018,0.067,0.067,0.067,0.067,0
AHL.AX,26 Oct 2018,0.013,0.013,0.013,0.013,0
AHN.AX,26 Oct 2018,0.016,0.018,0.016,0.018,917126
AHQ.AX,26 Oct 2018,0.056,0.056,0.056,0.056,0
AHX.AX,26 Oct 2018,0.555,0.555,0.555,0.555,1097
AHY.AX,26 Oct 2018,0.7,0.715,0.685,0.685,765537
AHZ.AX,26 Oct 2018,0.135,0.135,0.135,0.135,0
AIA.AX,26 Oct 2018,6.31,6.43,6.22,6.3,273229
AIB.AX,26 Oct 2018,0.23,0.23,0.23,0.23,0
AIQ.AX,26 Oct 2018,0.09,0.09,0.09,0.09,0
AIR.AX,26 Oct 2018,0.065,0.065,0.065,0.065,0
AIS.AX,26 Oct 2018,0.175,0.18,0.172,0.177,481721
AIV.AX,26 Oct 2018,0.2,0.2,0.2,0.2,10000
AIY.AX,26 Oct 2018,0.025,0.025,0.025,0.025,39201
AIYOB.AX,26 Oct 2018,0.007,0.007,0.007,0.007,0
AIZ.AX,26 Oct 2018,2.45,2.47,2.42,2.45,97491
AJC.AX,26 Oct 2018,0.001,0.001,0.001,0.001,0
AJJ.AX,26 Oct 2018,0.12,0.12,0.12,0.12,0
AJL.AX,26 Oct 2018,0.34,0.345,0.33,0.345,35485
AJM.AX,26 Oct 2018,0.21,0.215,0.205,0.215,2210574
AJQ.AX,26 Oct 2018,0.092,0.092,0.091,0.091,391075
AJX.AX,26 Oct 2018,0.115,0.12,0.115,0.115,411338
AJY.AX,26 Oct 2018,0.1,0.1,0.1,0.1,0
AKG.AX,26 Oct 2018,0.435,0.435,0.435,0.435,0
AKM.AX,26 Oct 2018,0.021,0.021,0.02,0.02,391240
AKN.AX,26 Oct 2018,0.003,0.003,0.003,0.003,0
AKP.AX,26 Oct 2018,14.05,14.54,14,14.43,11115
AL8.AX,26 Oct 2018,0.22,0.22,0.195,0.215,66100
ALC.AX,26 Oct 2018,0.045,0.046,0.042,0.042,1680506
ALF.AX,26 Oct 2018,1.01,1.01,1,1,286641
ALI.AX,26 Oct 2018,1.885,1.89,1.88,1.89,91874
ALK.AX,26 Oct 2018,0.235,0.235,0.235,0.235,0
ALL.AX,26 Oct 2018,26.9,27.14,25.97,26.31,2757120
ALLKOC.AX,26 Oct 2018,6.22,6.24,5.45,5.45,21500
ALLKOD.AX,26 Oct 2018,2.73,2.74,2.73,2.74,12000
ALLKOG.AX,26 Oct 2018,13.97,13.97,13.97,13.97,0
ALLKOP.AX,26 Oct 2018,5.24,5.24,5.24,5.24,0
