Symbol,Date,Open,High,Low,Close,Volume
1AD.AX,10 Sep 2018,0.29,0.29,0.29,0.29,73000
1AG.AX,10 Sep 2018,0.05,0.05,0.05,0.05,0
1AL.AX,10 Sep 2018,0.975,0.975,0.975,0.975,0
1ST.AX,10 Sep 2018,0.034,0.034,0.034,0.034,0
3DP.AX,10 Sep 2018,0.03,0.031,0.029,0.03,754628
3PL.AX,10 Sep 2018,1.245,1.245,1.235,1.24,23024
4CE.AX,10 Sep 2018,0.037,0.046,0.037,0.045,7699932
4DS.AX,10 Sep 2018,0.11,0.11,0.105,0.105,4165845
5GN.AX,10 Sep 2018,0.54,0.54,0.52,0.52,27586
88E.AX,10 Sep 2018,0.022,0.022,0.021,0.021,3060090
8CO.AX,10 Sep 2018,0.042,0.042,0.042,0.042,0
8COO.AX,10 Sep 2018,0.02,0.02,0.02,0.02,0
8EC.AX,10 Sep 2018,0.825,0.825,0.825,0.825,0
8IH.AX,10 Sep 2018,0.165,0.165,0.165,0.165,0
9SP.AX,10 Sep 2018,0.017,0.018,0.016,0.017,1672681
A200.AX,10 Sep 2018,102.87,103.19,102.87,103.02,2185
A2M.AX,10 Sep 2018,10.55,10.68,10.53,10.62,2581121
A2MKOC.AX,10 Sep 2018,9.56,9.56,9.56,9.56,0
A2MKOG.AX,10 Sep 2018,5.99,5.99,5.99,5.99,0
A2MKOH.AX,10 Sep 2018,4.07,4.07,4.07,4.07,500
A2MKOT.AX,10 Sep 2018,4.09,4.09,4.09,4.09,0
A3D.AX,10 Sep 2018,0.395,0.4,0.39,0.4,46307
A3DO.AX,10 Sep 2018,0.15,0.15,0.15,0.15,33233
AAA.AX,10 Sep 2018,50.09,50.1,50.09,50.1,53810
AAC.AX,10 Sep 2018,1.285,1.29,1.255,1.265,245761
AACKOB.AX,10 Sep 2018,0.67,0.67,0.67,0.67,0
AAJ.AX,10 Sep 2018,0.009,0.009,0.009,0.009,0
AAP.AX,10 Sep 2018,0.026,0.026,0.026,0.026,0
AAR.AX,10 Sep 2018,0.084,0.088,0.084,0.087,266741
AAU.AX,10 Sep 2018,0.015,0.015,0.015,0.015,0
AB1.AX,10 Sep 2018,0.094,0.098,0.092,0.096,7362638
ABA.AX,10 Sep 2018,5.81,5.81,5.48,5.57,22357
ABC.AX,10 Sep 2018,6.2,6.27,6.15,6.22,975725
ABCKOQ.AX,10 Sep 2018,1.975,1.975,1.975,1.975,0
ABL.AX,10 Sep 2018,0.004,0.004,0.004,0.004,5000
ABP.AX,10 Sep 2018,3.5,3.54,3.5,3.52,651832
ABR.AX,10 Sep 2018,0.17,0.17,0.17,0.17,91000
ABT.AX,10 Sep 2018,0.17,0.17,0.17,0.17,3000
ABV.AX,10 Sep 2018,0.003,0.003,0.003,0.003,0
ABW.AX,10 Sep 2018,0.37,0.37,0.37,0.37,0
ABX.AX,10 Sep 2018,0.115,0.115,0.11,0.11,246546
AC8.AX,10 Sep 2018,0.9,0.915,0.89,0.905,330430
ACB.AX,10 Sep 2018,0.044,0.049,0.044,0.049,21616
ACDC.AX,10 Sep 2018,50.34,50.38,50.2,50.21,3029
ACF.AX,10 Sep 2018,0.48,0.49,0.475,0.485,1381666
ACP.AX,10 Sep 2018,0.009,0.009,0.009,0.009,0
ACQ.AX,10 Sep 2018,1.25,1.25,1.25,1.25,32000
ACR.AX,10 Sep 2018,0.245,0.245,0.235,0.235,34945
ACS.AX,10 Sep 2018,0.008,0.008,0.008,0.008,0
ACW.AX,10 Sep 2018,0.055,0.055,0.054,0.054,333181
AD1.AX,10 Sep 2018,0.036,0.036,0.036,0.036,0
AD8.AX,10 Sep 2018,3.84,3.84,3.75,3.75,54562
ADA.AX,10 Sep 2018,1.6,1.632,1.57,1.6,124574
ADD.AX,10 Sep 2018,0.01,0.01,0.01,0.01,0
ADH.AX,10 Sep 2018,2.41,2.49,2.4,2.45,275099
ADJ.AX,10 Sep 2018,0.04,0.04,0.039,0.04,848789
ADN.AX,10 Sep 2018,0.006,0.006,0.006,0.006,854110
ADNOB.AX,10 Sep 2018,0.003,0.003,0.003,0.003,1921018
ADO.AX,10 Sep 2018,0.013,0.014,0.013,0.014,110895
ADR.AX,10 Sep 2018,0.085,0.085,0.083,0.085,111771
ADT.AX,10 Sep 2018,0.4,0.4,0.39,0.39,92500
ADV.AX,10 Sep 2018,0.008,0.008,0.008,0.008,154173
ADX.AX,10 Sep 2018,0.012,0.012,0.012,0.012,0
ADY.AX,10 Sep 2018,0.014,0.014,0.014,0.014,16918
AEB.AX,10 Sep 2018,0.015,0.015,0.014,0.014,391779
AEBO.AX,10 Sep 2018,0.003,0.003,0.003,0.003,0
AEE.AX,10 Sep 2018,0.021,0.021,0.021,0.021,2000000
AEF.AX,10 Sep 2018,164.01,164.01,164,164,188
AEG.AX,10 Sep 2018,1.22,1.23,1.21,1.22,65156
AEI.AX,10 Sep 2018,0.175,0.175,0.175,0.175,0
AER.AX,10 Sep 2018,0.052,0.052,0.052,0.052,0
AEV.AX,10 Sep 2018,0.017,0.018,0.017,0.018,483037
AFA.AX,10 Sep 2018,0.13,0.13,0.13,0.13,0
AFG.AX,10 Sep 2018,1.61,1.61,1.55,1.55,79540
AFI.AX,10 Sep 2018,6.21,6.23,6.21,6.21,415216
AFP.AX,10 Sep 2018,2,2,2,2,0
AFR.AX,10 Sep 2018,0.026,0.026,0.026,0.026,3123
AFT.AX,10 Sep 2018,0.001,0.001,0.001,0.001,0
AGD.AX,10 Sep 2018,0.074,0.074,0.074,0.074,0
AGE.AX,10 Sep 2018,0.008,0.008,0.008,0.008,1000000
AGEO.AX,10 Sep 2018,0.003,0.003,0.003,0.003,0
AGG.AX,10 Sep 2018,2.3,2.3,2.3,2.3,2173
AGI.AX,10 Sep 2018,1.095,1.12,1.075,1.11,186901
AGJ.AX,10 Sep 2018,0.04,0.045,0.04,0.045,79778
AGL.AX,10 Sep 2018,19.77,19.825,19.53,19.71,1533353
AGLKOB.AX,10 Sep 2018,1.13,1.13,1.13,1.13,0
AGLKOC.AX,10 Sep 2018,4,4,4,4,0
AGLKOD.AX,10 Sep 2018,1.89,1.89,1.89,1.89,0
AGM.AX,10 Sep 2018,1.81,1.81,1.81,1.81,0
AGR.AX,10 Sep 2018,0.125,0.125,0.12,0.12,331147
AGS.AX,10 Sep 2018,0.12,0.12,0.1,0.1,178324
AGY.AX,10 Sep 2018,0.225,0.23,0.215,0.215,1021641
AHF.AX,10 Sep 2018,0.155,0.16,0.155,0.16,38877
AHK.AX,10 Sep 2018,0.03,0.03,0.03,0.03,0
AHL.AX,10 Sep 2018,0.016,0.016,0.016,0.016,15937
AHN.AX,10 Sep 2018,0.02,0.02,0.02,0.02,0
AHQ.AX,10 Sep 2018,0.062,0.065,0.062,0.065,286923
AHX.AX,10 Sep 2018,0.55,0.55,0.55,0.55,0
AHY.AX,10 Sep 2018,0.78,0.785,0.77,0.775,2912684
AHZ.AX,10 Sep 2018,0.135,0.135,0.135,0.135,0
AIA.AX,10 Sep 2018,6.32,6.32,6.2,6.26,71492
AIB.AX,10 Sep 2018,0.2,0.2,0.2,0.2,0
AIQ.AX,10 Sep 2018,0.085,0.085,0.085,0.085,0
AIR.AX,10 Sep 2018,0.065,0.065,0.065,0.065,0
AIS.AX,10 Sep 2018,0.28,0.28,0.28,0.28,0
AIV.AX,10 Sep 2018,0.18,0.18,0.18,0.18,20000
AIY.AX,10 Sep 2018,0.045,0.045,0.045,0.045,21933
AIZ.AX,10 Sep 2018,2.92,2.93,2.88,2.89,38630
AJC.AX,10 Sep 2018,0.002,0.002,0.001,0.001,2700000
AJJ.AX,10 Sep 2018,0.12,0.12,0.12,0.12,0
AJL.AX,10 Sep 2018,0.34,0.34,0.34,0.34,98745
AJM.AX,10 Sep 2018,0.24,0.255,0.23,0.245,4243388
AJQ.AX,10 Sep 2018,0.095,0.095,0.094,0.095,113389
AJX.AX,10 Sep 2018,0.125,0.13,0.125,0.125,281402
